accession	trait	trait_display	genome_build	sample_size	download_url
GCST90451106	Acetate	Acetate	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451106/GCST90451106.tsv.gz
GCST90451107	Acetoacetate	Acetoacetate	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451107/GCST90451107.tsv.gz
GCST90451108	Acetone	Acetone	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451108/GCST90451108.tsv.gz
GCST90451109	Alanine	Alanine	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451109/GCST90451109.tsv.gz
GCST90451110	Albumin	Albumin	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451110/GCST90451110.tsv.gz
GCST90451111	ApoA1	Apolipoprotein A1	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451111/GCST90451111.tsv.gz
GCST90451112	ApoB_by_ApoA1	Apolipoprotein B/apolipoprotein A1 ratio	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451112/GCST90451112.tsv.gz
GCST90451113	ApoB	Apolipoprotein B	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451113/GCST90451113.tsv.gz
GCST90451114	bOHbutyrate	3-Hydroxybutyrate	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451114/GCST90451114.tsv.gz
GCST90451115	Cholines	Cholines	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451115/GCST90451115.tsv.gz
GCST90451116	Citrate	Citrate	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451116/GCST90451116.tsv.gz
GCST90451117	Clinical_LDL_C	Clinical low-density lipoprotein cholesterol	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451117/GCST90451117.tsv.gz
