trait_id	trait_display	n_iv_full	n_iv_pleio_removed	n_iv_after	full_b	full_se	full_ci_lo	full_ci_hi	full_p	after_b	after_se	after_ci_lo	after_ci_hi	after_p	direction_same
Cholesterol_in_very_large_HDL	Cholesterol in very large high-density lipoprotein	396	278	118	-0.0477931140657634	0.0124265722698273	-0.0721491957146249	-0.0234370324169019	0.000120041384212094	-0.143094638618591	0.0423249331924084	-0.226051507675711	-0.0601377695614707	0.000722595670326987	TRUE
Cholesterol_to_total_lipids_ratio_in_large_HDL	Cholesterol/total lipids ratio in large high-density lipoprotein	387	231	156	-0.0491492334227874	0.0126640158097643	-0.0739707044099254	-0.0243277624356495	0.000104021488291155	-0.0985806065501648	0.0325237447163121	-0.162327146194137	-0.0348340669061931	0.00243717045107799	TRUE
Cholesterol_to_total_lipids_ratio_in_medium_VLDL	Cholesterol/total lipids ratio in medium very-low-density lipoprotein	327	249	78	-0.0535602498953808	0.0140919748151586	-0.0811805205330917	-0.0259399792576699	0.000144251493926897	-0.0390595264464258	0.0544112454692955	-0.145705567566245	0.0675865146733933	0.472845089422875	TRUE
Cholesterol_to_total_lipids_ratio_in_very_large_VLDL	Cholesterol/total lipids ratio in very large very-low-density lipoprotein	283	198	85	-0.0589455503259917	0.0148397410451514	-0.0880314427744884	-0.029859657877495	7.12294046125761e-05	-0.0583980009710297	0.0447185314740896	-0.146046322660245	0.0292503207181859	0.191586028741613	TRUE
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	Cholesteryl esters/total lipids ratio in medium very-low-density lipoprotein	341	249	92	-0.05260775071286	0.0140272569704827	-0.0801011743750061	-0.0251143270507139	0.000176556411400362	-0.0439774275704394	0.0522309557711745	-0.146350100881941	0.0583952457410625	0.399799068824028	TRUE
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL	Cholesteryl esters/total lipids ratio in very small very-low-density lipoprotein	353	244	109	-0.048637601572428	0.0117953460937148	-0.0717564799161091	-0.0255187232287469	3.73228277012625e-05	-0.0823219155234847	0.0365299969417945	-0.153920709529402	-0.0107231215175675	0.0242249384971872	TRUE
Free_cholesterol_in_very_large_HDL	Free cholesterol in very large high-density lipoprotein	338	193	145	-0.0470498534908875	0.0123798026261079	-0.071314266638059	-0.022785440343716	0.000144384948430835	-0.090537512092761	0.0311628834733241	-0.151616763700476	-0.0294582604850458	0.00366901746279915	TRUE
Free_cholesterol_to_total_lipids_ratio_in_medium_VLDL	Free cholesterol/total lipids ratio in medium very-low-density lipoprotein	304	223	81	-0.0478179754175081	0.0127856661106434	-0.0728778809943692	-0.022758069840647	0.000184044066997055	-0.0872482312702322	0.043458139936803	-0.172426185546366	-0.00207027699409831	0.044681729078562	TRUE
GlycA	Glycoprotein acetyls	328	99	229	0.0716994638484488	0.0146183120628588	0.0430475722052455	0.100351355491652	9.35367008369753e-07	0.0909385051574532	0.02034847741381	0.0510554894263856	0.130821520888521	7.8565199093271e-06	TRUE
Monounsaturated_fatty_acids	Monounsaturated fatty acids	289	211	78	0.0507793919851397	0.0136088610489744	0.0241060243291499	0.0774527596411295	0.000190458160895112	0.230747029732832	0.0460007955518948	0.140585470451118	0.320908589014545	5.27163473182809e-07	TRUE
Ratio_of_monounsaturated_fatty_acids_to_total_fatty_acids	Monounsaturated fatty acids/total fatty acids ratio	343	216	127	0.0776811335692692	0.0145740946469684	0.0491159080612111	0.106246359077327	9.81679116730432e-08	0.141096819258283	0.0275278134316636	0.0871423049322223	0.195051333584343	2.9657689606477e-07	TRUE
Ratio_of_polyunsaturated_fatty_acids_to_monounsaturated_fatty_acids	Polyunsaturated fatty acids/monounsaturated fatty acids ratio	323	207	116	-0.0716875617325465	0.0142309648703086	-0.0995802528783513	-0.0437948705867418	4.71811494259079e-07	-0.112367584212565	0.0362597905188345	-0.183436773629481	-0.0412983947956492	0.0019420225359906	TRUE
Ratio_of_polyunsaturated_fatty_acids_to_total_fatty_acids	Polyunsaturated fatty acids/total fatty acids ratio	267	148	119	-0.0715263987636331	0.0164416144412033	-0.103751963068392	-0.0393008344588747	1.35934682983623e-05	-0.124358991319307	0.0429669066703184	-0.208574128393131	-0.0401438542454825	0.00380008473287794	TRUE
Triglycerides_to_total_lipids_ratio_in_very_large_HDL	Triglycerides/total lipids ratio in very large high-density lipoprotein	368	259	109	0.0525548460222472	0.0128530627663713	0.0273628430001595	0.0777468490443349	4.33429790958803e-05	0.108322638927317	0.0377356334259712	0.034360797412413	0.18228448044222	0.0040973721725562	TRUE
Triglycerides_to_total_lipids_ratio_in_very_small_VLDL	Triglycerides/total lipids ratio in very small very-low-density lipoprotein	346	235	111	0.047836615822061	0.0122481343300168	0.023830272535228	0.0718429591088939	9.39822823156182e-05	0.0630963348302717	0.0379765428953091	-0.0113376892445341	0.137530358905077	0.0966220056849625	TRUE
