locus_key	trait	locus	outcome	p12	nsnp	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4
Cholesterol_in_very_large_HDL__locus001	Cholesterol_in_very_large_HDL	locus001	main	1e-06	1669	0.0118223324956766	0.976881512240892	0.000131190439055697	0.010837010607268	0.000327954217107322
Cholesterol_in_very_large_HDL__locus001	Cholesterol_in_very_large_HDL	locus001	main	5e-06	1669	0.0118068440784515	0.975601701472033	0.000131018566689836	0.010822813058534	0.00163762282429158
Cholesterol_in_very_large_HDL__locus001	Cholesterol_in_very_large_HDL	locus001	main	1e-05	1669	0.0117875405330324	0.974006645957601	0.000130804358486861	0.0108051183501047	0.00326989080077487
Cholesterol_in_very_large_HDL__locus001	Cholesterol_in_very_large_HDL	locus001	main	1e-04	1669	0.0114505617541403	0.946162027373443	0.000127064961547089	0.0104962247707189	0.0317641211401508
Cholesterol_in_very_large_HDL__locus001	Cholesterol_in_very_large_HDL	locus001	noUKBB	1e-06	1551	0.0118154877373514	0.976225938169047	0.000139193759189026	0.0114973252729849	0.000322055061427529
Cholesterol_in_very_large_HDL__locus001	Cholesterol_in_very_large_HDL	locus001	noUKBB	5e-06	1551	0.0118002863695449	0.974969962124879	0.000139014677666805	0.0114825332411916	0.00160820358671801
Cholesterol_in_very_large_HDL__locus001	Cholesterol_in_very_large_HDL	locus001	noUKBB	1e-05	1551	0.0117813395769809	0.973404529469259	0.000138791472722567	0.0114640966398569	0.00321124284118101
Cholesterol_in_very_large_HDL__locus001	Cholesterol_in_very_large_HDL	locus001	noUKBB	1e-04	1551	0.0114504091765109	0.946062209977344	0.000134892907763142	0.011142077393466	0.031210410544916
Cholesterol_in_very_large_HDL__locus002	Cholesterol_in_very_large_HDL	locus002	main	1e-06	1935	0.000223620774659052	1.22740922374578e-05	0.947556087617837	0.0520074321663843	0.000200585348882347
Cholesterol_in_very_large_HDL__locus002	Cholesterol_in_very_large_HDL	locus002	main	5e-06	1935	0.00022344149829549	1.22642521202965e-05	0.946796433645983	0.0519657379037149	0.00100212269988622
Cholesterol_in_very_large_HDL__locus002	Cholesterol_in_very_large_HDL	locus002	main	1e-05	1935	0.000223217806664413	1.22519741388935e-05	0.945848577316	0.0519137139924877	0.00200223891070942
Cholesterol_in_very_large_HDL__locus002	Cholesterol_in_very_large_HDL	locus002	main	1e-04	1935	0.000219266589783466	1.20350998322872e-05	0.929105948574336	0.0509947803906171	0.0196679693454316
Cholesterol_in_very_large_HDL__locus002	Cholesterol_in_very_large_HDL	locus002	noUKBB	1e-06	1885	0.0466658370706324	0.0025005445805801	0.902268148035706	0.0483449772789015	0.000220493034179864
Cholesterol_in_very_large_HDL__locus002	Cholesterol_in_very_large_HDL	locus002	noUKBB	5e-06	1885	0.0466247153707929	0.00249834111333012	0.901473073902521	0.0483023759291946	0.00110149368416112
Cholesterol_in_very_large_HDL__locus002	Cholesterol_in_very_large_HDL	locus002	noUKBB	1e-05	1885	0.0465734150482675	0.00249559223424586	0.900481199548513	0.0482492297074063	0.00220056346156772
Cholesterol_in_very_large_HDL__locus002	Cholesterol_in_very_large_HDL	locus002	noUKBB	1e-04	1885	0.0456689384722911	0.00244712671552183	0.882993451414633	0.0473122080603137	0.0215782753372402
Cholesterol_in_very_large_HDL__locus003	Cholesterol_in_very_large_HDL	locus003	main	1e-06	4545	7.3014159340905e-13	0.935329370968088	5.02546498902567e-14	0.0643744832659246	0.000296145765207564
Cholesterol_in_very_large_HDL__locus003	Cholesterol_in_very_large_HDL	locus003	main	5e-06	4545	7.29277703394965e-13	0.934222706574834	5.01951895190172e-14	0.0642983165692766	0.0014789768551079
Cholesterol_in_very_large_HDL__locus003	Cholesterol_in_very_large_HDL	locus003	main	1e-05	4545	7.28200711396937e-13	0.932843053289572	5.01210616289146e-14	0.0642033612839176	0.00295358542573155
Cholesterol_in_very_large_HDL__locus003	Cholesterol_in_very_large_HDL	locus003	main	1e-04	4545	7.09344719372317e-13	0.908688062917059	4.88232294192656e-14	0.0625408827263219	0.02877105435586
Cholesterol_in_very_large_HDL__locus003	Cholesterol_in_very_large_HDL	locus003	noUKBB	1e-06	4448	7.42955176068679e-13	0.951743776021507	3.73735319968524e-14	0.0478725732842488	0.000383650693462535
Cholesterol_in_very_large_HDL__locus003	Cholesterol_in_very_large_HDL	locus003	noUKBB	5e-06	4448	7.4181678197737e-13	0.950285465310494	3.73162663510006e-14	0.0477992204679309	0.00191531422079665
Cholesterol_in_very_large_HDL__locus003	Cholesterol_in_very_large_HDL	locus003	noUKBB	1e-05	4448	7.40398685845311e-13	0.948468849435188	3.72449306057587e-14	0.0477078449540469	0.00382330560998803
Cholesterol_in_very_large_HDL__locus003	Cholesterol_in_very_large_HDL	locus003	noUKBB	1e-04	4448	7.15769244725952e-13	0.916917932169527	3.60059740234658e-14	0.0461208384119085	0.0369612294178138
Cholesterol_in_very_large_HDL__locus004	Cholesterol_in_very_large_HDL	locus004	main	1e-06	1696	5.50462477804303e-25	0.215000070512509	2.00829866318538e-24	0.784396851533796	0.000603077953691575
Cholesterol_in_very_large_HDL__locus004	Cholesterol_in_very_large_HDL	locus004	main	5e-06	1696	5.49137786234638e-25	0.214482671430157	2.00346567925684e-24	0.782509195356678	0.00300813321316738
Cholesterol_in_very_large_HDL__locus004	Cholesterol_in_very_large_HDL	locus004	main	1e-05	1696	5.47490860792383e-25	0.21383941398666	1.99745706232579e-24	0.780162363040753	0.00599822297259091
Cholesterol_in_very_large_HDL__locus004	Cholesterol_in_very_large_HDL	locus004	main	1e-04	1696	5.19448926439469e-25	0.202886773059648	1.89514930921838e-24	0.740203227033732	0.0569099999066188
Cholesterol_in_very_large_HDL__locus004	Cholesterol_in_very_large_HDL	locus004	noUKBB	1e-06	1664	1.84935157672153e-24	0.722321149079701	6.76359405134989e-25	0.264036549205938	0.013642301714362
Cholesterol_in_very_large_HDL__locus004	Cholesterol_in_very_large_HDL	locus004	noUKBB	5e-06	1664	1.75365596178603e-24	0.684944282824428	6.41360852125105e-25	0.25037384695951	0.0646818702160633
Cholesterol_in_very_large_HDL__locus004	Cholesterol_in_very_large_HDL	locus004	noUKBB	1e-05	1664	1.64711733226954e-24	0.643332343665648	6.02396706534457e-25	0.235163060406672	0.121504595927676
Cholesterol_in_very_large_HDL__locus004	Cholesterol_in_very_large_HDL	locus004	noUKBB	1e-04	1664	7.86761303647999e-25	0.307293829932499	2.87740532420524e-25	0.112327878743449	0.58037829132405
Cholesterol_in_very_large_HDL__locus005	Cholesterol_in_very_large_HDL	locus005	main	1e-06	1855	0.000621515714690124	0.977880421149871	1.31781228459607e-05	0.0207266127514285	0.000758272261164672
Cholesterol_in_very_large_HDL__locus005	Cholesterol_in_very_large_HDL	locus005	main	5e-06	1855	0.000619636302609008	0.974923391691151	1.31382732931695e-05	0.0206639371899183	0.00377989654302875
Cholesterol_in_very_large_HDL__locus005	Cholesterol_in_very_large_HDL	locus005	main	1e-05	1855	0.000617302961279666	0.971252159012889	1.30887989871257e-05	0.0205861237718387	0.00753132545500571
Cholesterol_in_very_large_HDL__locus005	Cholesterol_in_very_large_HDL	locus005	main	1e-04	1855	0.000578117070966758	0.90959786127494	1.22579326644144e-05	0.019279333364712	0.0705324303567165
Cholesterol_in_very_large_HDL__locus005	Cholesterol_in_very_large_HDL	locus005	noUKBB	1e-06	1813	0.000626455962014174	0.978124060199617	1.31706769852607e-05	0.0205573954254675	0.000678917735916164
Cholesterol_in_very_large_HDL__locus005	Cholesterol_in_very_large_HDL	locus005	noUKBB	5e-06	1813	0.000624759321278594	0.975474991109988	1.31350066294124e-05	0.0205017195015221	0.00338539506058197
Cholesterol_in_very_large_HDL__locus005	Cholesterol_in_very_large_HDL	locus005	noUKBB	1e-05	1813	0.000622651400303542	0.972183764993999	1.30906894739278e-05	0.0204325472569633	0.00674794565926
Cholesterol_in_very_large_HDL__locus005	Cholesterol_in_very_large_HDL	locus005	noUKBB	1e-04	1813	0.000587001888683094	0.916521999180144	1.23411903379859e-05	0.0192626947030023	0.063615963037833
Cholesterol_in_very_large_HDL__locus006	Cholesterol_in_very_large_HDL	locus006	main	1e-06	2937	0.0242721529627961	0.00306136496596019	0.863622566295555	0.108924614779829	0.000119300995859475
Cholesterol_in_very_large_HDL__locus006	Cholesterol_in_very_large_HDL	locus006	main	5e-06	2937	0.0242605757194223	0.00305990476721633	0.863210638740203	0.10887266031264	0.000596220460518608
Cholesterol_in_very_large_HDL__locus006	Cholesterol_in_very_large_HDL	locus006	main	1e-05	2937	0.0242461196867768	0.00305808147647013	0.86269628156592	0.108807786883836	0.00119173038699707
Cholesterol_in_very_large_HDL__locus006	Cholesterol_in_very_large_HDL	locus006	main	1e-04	2937	0.0239888257731764	0.00302562986106302	0.853541558855642	0.107653145164699	0.0117908403454199
Cholesterol_in_very_large_HDL__locus006	Cholesterol_in_very_large_HDL	locus006	noUKBB	1e-06	2866	0.00344782147934918	0.000430954047214055	0.885356261757877	0.110662437609811	0.00010252510574782
Cholesterol_in_very_large_HDL__locus006	Cholesterol_in_very_large_HDL	locus006	noUKBB	5e-06	2866	0.00344640810592714	0.000430777385226159	0.884993325620696	0.110617073501178	0.000512415386972157
Cholesterol_in_very_large_HDL__locus006	Cholesterol_in_very_large_HDL	locus006	noUKBB	1e-05	2866	0.00344464301784217	0.000430556761316695	0.884540073676551	0.110560420640452	0.00102430590383822
Cholesterol_in_very_large_HDL__locus006	Cholesterol_in_very_large_HDL	locus006	noUKBB	1e-04	2866	0.00341317777453443	0.000426623821623829	0.876460203428888	0.109550501610341	0.0101494933646132
Cholesterol_in_very_large_HDL__locus007	Cholesterol_in_very_large_HDL	locus007	main	1e-06	2683	4.87235247721117e-08	9.95980326760527e-10	0.97906559733736	0.0200042359897109	0.000930116953423109
Cholesterol_in_very_large_HDL__locus007	Cholesterol_in_very_large_HDL	locus007	main	5e-06	2683	4.85429223917705e-08	9.92288549151514e-10	0.975436517170926	0.0199300867434577	0.00463334655040508
Cholesterol_in_very_large_HDL__locus007	Cholesterol_in_very_large_HDL	locus007	main	1e-05	2683	4.83190435181668e-08	9.87712136530926e-10	0.970937825745352	0.0198381696286425	0.00922395531925063
