locus_key	trait	locus	abf_class	failure_reason	is_mhc	qc_exp_lead_present	qc_mdd_lead_present_main	qc_mdd_lead_present_noukbb
Cholesterol_in_very_large_HDL__locus001	Cholesterol_in_very_large_HDL	locus001	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus002	Cholesterol_in_very_large_HDL	locus002	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus003	Cholesterol_in_very_large_HDL	locus003	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus004	Cholesterol_in_very_large_HDL	locus004	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus005	Cholesterol_in_very_large_HDL	locus005	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus006	Cholesterol_in_very_large_HDL	locus006	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus007	Cholesterol_in_very_large_HDL	locus007	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus008	Cholesterol_in_very_large_HDL	locus008	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus009	Cholesterol_in_very_large_HDL	locus009	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus010	Cholesterol_in_very_large_HDL	locus010	distinct_signal	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus011	Cholesterol_in_very_large_HDL	locus011	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus012	Cholesterol_in_very_large_HDL	locus012	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus013	Cholesterol_in_very_large_HDL	locus013	inconclusive	lead_missing	FALSE	FALSE	FALSE	FALSE
Cholesterol_in_very_large_HDL__locus014	Cholesterol_in_very_large_HDL	locus014	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus015	Cholesterol_in_very_large_HDL	locus015	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus016	Cholesterol_in_very_large_HDL	locus016	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus017	Cholesterol_in_very_large_HDL	locus017	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus018	Cholesterol_in_very_large_HDL	locus018	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus019	Cholesterol_in_very_large_HDL	locus019	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus020	Cholesterol_in_very_large_HDL	locus020	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus021	Cholesterol_in_very_large_HDL	locus021	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus022	Cholesterol_in_very_large_HDL	locus022	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus023	Cholesterol_in_very_large_HDL	locus023	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus024	Cholesterol_in_very_large_HDL	locus024	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus025	Cholesterol_in_very_large_HDL	locus025	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus026	Cholesterol_in_very_large_HDL	locus026	inconclusive	lead_missing	FALSE	FALSE	FALSE	FALSE
Cholesterol_in_very_large_HDL__locus027	Cholesterol_in_very_large_HDL	locus027	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus028	Cholesterol_in_very_large_HDL	locus028	distinct_signal	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus029	Cholesterol_in_very_large_HDL	locus029	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
