locus_key	qc_exp_lead_present	qc_mdd_lead_present_main	qc_mdd_lead_present_noukbb
Cholesterol_in_very_large_HDL__locus001	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus002	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus003	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus004	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus005	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus006	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus007	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus008	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus009	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus010	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus011	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus012	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus013	FALSE	FALSE	FALSE
Cholesterol_in_very_large_HDL__locus014	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus015	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus016	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus017	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus018	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus019	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus020	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus021	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus022	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus023	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus024	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus025	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus026	FALSE	FALSE	FALSE
Cholesterol_in_very_large_HDL__locus027	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus028	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus029	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus030	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus031	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus032	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus033	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus034	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus035	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus036	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus037	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus038	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus039	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus040	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus041	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus042	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus043	TRUE	TRUE	TRUE
