locus_key	trait	locus	outcome	analysis_status	failure_reason
Cholesterol_in_very_large_HDL__locus001	Cholesterol_in_very_large_HDL	locus001	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus001	Cholesterol_in_very_large_HDL	locus001	main	success	none
Cholesterol_in_very_large_HDL__locus001	Cholesterol_in_very_large_HDL	locus001	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus002	Cholesterol_in_very_large_HDL	locus002	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus002	Cholesterol_in_very_large_HDL	locus002	main	success	none
Cholesterol_in_very_large_HDL__locus002	Cholesterol_in_very_large_HDL	locus002	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus003	Cholesterol_in_very_large_HDL	locus003	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus003	Cholesterol_in_very_large_HDL	locus003	main	success	none
Cholesterol_in_very_large_HDL__locus003	Cholesterol_in_very_large_HDL	locus003	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus004	Cholesterol_in_very_large_HDL	locus004	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus004	Cholesterol_in_very_large_HDL	locus004	main	success	none
Cholesterol_in_very_large_HDL__locus004	Cholesterol_in_very_large_HDL	locus004	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus005	Cholesterol_in_very_large_HDL	locus005	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus005	Cholesterol_in_very_large_HDL	locus005	main	success	none
Cholesterol_in_very_large_HDL__locus005	Cholesterol_in_very_large_HDL	locus005	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus006	Cholesterol_in_very_large_HDL	locus006	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus006	Cholesterol_in_very_large_HDL	locus006	main	success	none
Cholesterol_in_very_large_HDL__locus006	Cholesterol_in_very_large_HDL	locus006	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus007	Cholesterol_in_very_large_HDL	locus007	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus007	Cholesterol_in_very_large_HDL	locus007	main	success	none
Cholesterol_in_very_large_HDL__locus007	Cholesterol_in_very_large_HDL	locus007	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus008	Cholesterol_in_very_large_HDL	locus008	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus008	Cholesterol_in_very_large_HDL	locus008	main	success	none
Cholesterol_in_very_large_HDL__locus008	Cholesterol_in_very_large_HDL	locus008	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus009	Cholesterol_in_very_large_HDL	locus009	classification	prior_sensitive_coloc	none
Cholesterol_in_very_large_HDL__locus009	Cholesterol_in_very_large_HDL	locus009	main	success	none
Cholesterol_in_very_large_HDL__locus009	Cholesterol_in_very_large_HDL	locus009	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus010	Cholesterol_in_very_large_HDL	locus010	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus010	Cholesterol_in_very_large_HDL	locus010	main	success	none
Cholesterol_in_very_large_HDL__locus010	Cholesterol_in_very_large_HDL	locus010	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus011	Cholesterol_in_very_large_HDL	locus011	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus011	Cholesterol_in_very_large_HDL	locus011	main	success	none
Cholesterol_in_very_large_HDL__locus011	Cholesterol_in_very_large_HDL	locus011	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus012	Cholesterol_in_very_large_HDL	locus012	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus012	Cholesterol_in_very_large_HDL	locus012	main	success	none
Cholesterol_in_very_large_HDL__locus012	Cholesterol_in_very_large_HDL	locus012	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus013	Cholesterol_in_very_large_HDL	locus013	classification	inconclusive	lead_missing
Cholesterol_in_very_large_HDL__locus013	Cholesterol_in_very_large_HDL	locus013	main	success	none
Cholesterol_in_very_large_HDL__locus013	Cholesterol_in_very_large_HDL	locus013	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus014	Cholesterol_in_very_large_HDL	locus014	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus014	Cholesterol_in_very_large_HDL	locus014	main	success	none
Cholesterol_in_very_large_HDL__locus014	Cholesterol_in_very_large_HDL	locus014	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus015	Cholesterol_in_very_large_HDL	locus015	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus015	Cholesterol_in_very_large_HDL	locus015	main	success	none
Cholesterol_in_very_large_HDL__locus015	Cholesterol_in_very_large_HDL	locus015	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus016	Cholesterol_in_very_large_HDL	locus016	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus016	Cholesterol_in_very_large_HDL	locus016	main	success	none
Cholesterol_in_very_large_HDL__locus016	Cholesterol_in_very_large_HDL	locus016	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus017	Cholesterol_in_very_large_HDL	locus017	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus017	Cholesterol_in_very_large_HDL	locus017	main	success	none
Cholesterol_in_very_large_HDL__locus017	Cholesterol_in_very_large_HDL	locus017	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus018	Cholesterol_in_very_large_HDL	locus018	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus018	Cholesterol_in_very_large_HDL	locus018	main	success	none
Cholesterol_in_very_large_HDL__locus018	Cholesterol_in_very_large_HDL	locus018	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus019	Cholesterol_in_very_large_HDL	locus019	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus019	Cholesterol_in_very_large_HDL	locus019	main	success	none
Cholesterol_in_very_large_HDL__locus019	Cholesterol_in_very_large_HDL	locus019	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus020	Cholesterol_in_very_large_HDL	locus020	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus020	Cholesterol_in_very_large_HDL	locus020	main	success	none
Cholesterol_in_very_large_HDL__locus020	Cholesterol_in_very_large_HDL	locus020	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus021	Cholesterol_in_very_large_HDL	locus021	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus021	Cholesterol_in_very_large_HDL	locus021	main	success	none
Cholesterol_in_very_large_HDL__locus021	Cholesterol_in_very_large_HDL	locus021	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus022	Cholesterol_in_very_large_HDL	locus022	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus022	Cholesterol_in_very_large_HDL	locus022	main	success	none
Cholesterol_in_very_large_HDL__locus022	Cholesterol_in_very_large_HDL	locus022	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus023	Cholesterol_in_very_large_HDL	locus023	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus023	Cholesterol_in_very_large_HDL	locus023	main	success	none
Cholesterol_in_very_large_HDL__locus023	Cholesterol_in_very_large_HDL	locus023	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus024	Cholesterol_in_very_large_HDL	locus024	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus024	Cholesterol_in_very_large_HDL	locus024	main	success	none
Cholesterol_in_very_large_HDL__locus024	Cholesterol_in_very_large_HDL	locus024	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus025	Cholesterol_in_very_large_HDL	locus025	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus025	Cholesterol_in_very_large_HDL	locus025	main	success	none
Cholesterol_in_very_large_HDL__locus025	Cholesterol_in_very_large_HDL	locus025	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus026	Cholesterol_in_very_large_HDL	locus026	classification	inconclusive	lead_missing
Cholesterol_in_very_large_HDL__locus026	Cholesterol_in_very_large_HDL	locus026	main	success	none
Cholesterol_in_very_large_HDL__locus026	Cholesterol_in_very_large_HDL	locus026	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus027	Cholesterol_in_very_large_HDL	locus027	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus027	Cholesterol_in_very_large_HDL	locus027	main	success	none
Cholesterol_in_very_large_HDL__locus027	Cholesterol_in_very_large_HDL	locus027	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus028	Cholesterol_in_very_large_HDL	locus028	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus028	Cholesterol_in_very_large_HDL	locus028	main	success	none
Cholesterol_in_very_large_HDL__locus028	Cholesterol_in_very_large_HDL	locus028	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus029	Cholesterol_in_very_large_HDL	locus029	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus029	Cholesterol_in_very_large_HDL	locus029	main	success	none
Cholesterol_in_very_large_HDL__locus029	Cholesterol_in_very_large_HDL	locus029	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus030	Cholesterol_in_very_large_HDL	locus030	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus030	Cholesterol_in_very_large_HDL	locus030	main	success	none
Cholesterol_in_very_large_HDL__locus030	Cholesterol_in_very_large_HDL	locus030	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus031	Cholesterol_in_very_large_HDL	locus031	classification	robust_coloc	none
Cholesterol_in_very_large_HDL__locus031	Cholesterol_in_very_large_HDL	locus031	main	success	none
Cholesterol_in_very_large_HDL__locus031	Cholesterol_in_very_large_HDL	locus031	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus032	Cholesterol_in_very_large_HDL	locus032	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus032	Cholesterol_in_very_large_HDL	locus032	main	success	none
Cholesterol_in_very_large_HDL__locus032	Cholesterol_in_very_large_HDL	locus032	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus033	Cholesterol_in_very_large_HDL	locus033	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus033	Cholesterol_in_very_large_HDL	locus033	main	success	none
Cholesterol_in_very_large_HDL__locus033	Cholesterol_in_very_large_HDL	locus033	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus034	Cholesterol_in_very_large_HDL	locus034	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus034	Cholesterol_in_very_large_HDL	locus034	main	success	none
Cholesterol_in_very_large_HDL__locus034	Cholesterol_in_very_large_HDL	locus034	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus035	Cholesterol_in_very_large_HDL	locus035	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus035	Cholesterol_in_very_large_HDL	locus035	main	success	none
Cholesterol_in_very_large_HDL__locus035	Cholesterol_in_very_large_HDL	locus035	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus036	Cholesterol_in_very_large_HDL	locus036	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus036	Cholesterol_in_very_large_HDL	locus036	main	success	none
Cholesterol_in_very_large_HDL__locus036	Cholesterol_in_very_large_HDL	locus036	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus037	Cholesterol_in_very_large_HDL	locus037	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus037	Cholesterol_in_very_large_HDL	locus037	main	success	none
Cholesterol_in_very_large_HDL__locus037	Cholesterol_in_very_large_HDL	locus037	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus038	Cholesterol_in_very_large_HDL	locus038	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus038	Cholesterol_in_very_large_HDL	locus038	main	success	none
Cholesterol_in_very_large_HDL__locus038	Cholesterol_in_very_large_HDL	locus038	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus039	Cholesterol_in_very_large_HDL	locus039	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus039	Cholesterol_in_very_large_HDL	locus039	main	success	none
Cholesterol_in_very_large_HDL__locus039	Cholesterol_in_very_large_HDL	locus039	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus040	Cholesterol_in_very_large_HDL	locus040	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus040	Cholesterol_in_very_large_HDL	locus040	main	success	none
Cholesterol_in_very_large_HDL__locus040	Cholesterol_in_very_large_HDL	locus040	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus041	Cholesterol_in_very_large_HDL	locus041	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus041	Cholesterol_in_very_large_HDL	locus041	main	success	none
Cholesterol_in_very_large_HDL__locus041	Cholesterol_in_very_large_HDL	locus041	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus042	Cholesterol_in_very_large_HDL	locus042	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus042	Cholesterol_in_very_large_HDL	locus042	main	success	none
Cholesterol_in_very_large_HDL__locus042	Cholesterol_in_very_large_HDL	locus042	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus043	Cholesterol_in_very_large_HDL	locus043	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus043	Cholesterol_in_very_large_HDL	locus043	main	success	none
Cholesterol_in_very_large_HDL__locus043	Cholesterol_in_very_large_HDL	locus043	noUKBB	success	none
