file	rows	md5	sha256	role
broad_pleiotropy_sensitivity_15.tsv	15	b4ea02eccb2ffbfea585e1f22efc6357	aa5f741f1e929e27131853a46f711cd8cd3d3a4b8c00be5b29c9a71b83ca4327	Aggregate broad-pleiotropy sensitivity estimates with SE and 95% CI
coloc_abf_results.tsv	51472	1c272b93b174bd48aeef98d2a29186e4	e18eb38ab641dc755752216947427c179f77085badaefd5e651bea989e1e39e9	Frozen aggregate ABF posterior grid for classification replay
coloc_class_counts.tsv	5	76a76c30b3969e021685e89b10a0b76c	4365aba0b0ae13caeab84d312db2777483a3cd3813e0cf7fb8e3222a5de0d49f	Locked five-class colocalization counts
coloc_classification.tsv	6434	dad23858d3e9d218006af0c56cea5c4f	17e600c89af62e85a481556039a0868906b35b419a9adfefd561cd3eb893e920	Frozen 6,434-row colocalization classification
coloc_lead_qc.tsv	6434	db4c9441a4aba0dcbc0c7d9efcb8916c	0c1d705e4e1684b2272f56abc517c4d9b0ad8d9e23cbfc8b617f3d3dc25438c9	Frozen aggregate lead-coverage QC for classification replay
coloc_locus_manifest.tsv	6434	0dac909391d01ab834fcaf086df278e7	b44eb2b5ecea55700a512e4912738890f42742ec12dda205ea35fba6455cbfa9	Path-free 6,434-row locus-window manifest
coloc_status.tsv	19302	fbf2f40bd1ac1cf50b8c06f70ed7433f	0f5ca517e736c936d08f2eb072f9327737d4d3c827ebd4d424de7854fa97661f	Frozen locus-analysis and classification-admission status; classification is not a third outcome
evidence_summary.tsv	15	385b6ed9c5c28c01002d902a1399cdee	2f7b47a72b1b0f79915676a33c1bb9e12f224a42ec03fd91940a2904b07254af	Aggregate 15-trait evidence matrix
finngen_cross_outcome_15.tsv	15	ee258cd2a4f19cc4051ee31c991dcae2	0e1a6432a0cfbe374c181ed01baaf97938aae94e6646a68a01ca4caf9431186c	Neutral cross-outcome comparison summary; Q is descriptive
finngen_tool_loss.tsv	15	06f1785d8394643c4553f80b43b58674	7a7a97dbb8bf013b18b79dec54e696afa7a8d5d027df56acbac02e9231e51994	FinnGen instrument matching and harmonization losses
forest_estimates.tsv	15	007c8c4e092b2a77070a94186e001c41	08087c72543d292d5628e7095f3dbadff4613cde5d71b46a2c31a9accf3cd469	Aggregate estimates used in Figure 2
forward_screen_249.tsv	249	99d591ac7eff72f3cfa370ddf1356238	9485585c670bfef06c52565625ddc3beb5a71af805a11d69e24cb11cdee8cdd8	Frozen four-level forward MR screen
instrument_strength_qc.tsv	249	d8997fe0a0c5259854170b2ecc6efcb4	bd35d30d88fa1c06a1fa25a9b97d9548d3324e72351837e52f38142c0fa1dca7	Trait-level instrument strength, MAF, approximate R2 and I2GX diagnostics
integrated_mechanism_evidence.tsv	101	f970c455b138661317cecf84c7a5951c	31ab30ece66159d0c1831b8d04398cc33ac9e5cf19ac7e1184bf2fabf048ab22	Frozen 101-row integrated mechanism assessment
presso_sensitivity_15.tsv	15	ddc465710638a3421c59d3dae4e028f3	6707a06370a2f707dbfd14b2d8f3e3e83e0aa34629c75f653c310b3172ec49bc	Frozen 10,000-run MR-PRESSO summary with unavailable SE fields marked NA
reverse_mr_no_ukbb.tsv	15	80b11988ec6970f301a8cbb09cf3ad8d	a646f403bcd67989c23f52baf20bb301268f66e4ed15e8176f1b05a43cda1e4c	UK Biobank-excluded reverse-MR labels used in Figure 3
reverse_mr_primary.tsv	15	00463ef9af56381c93870a409a6a52e9	b56015b0577b689b33770af79c057c18e159cd6e2446a1f3b9847ff2ee5829f9	Primary reverse-MR screen labels used in Figure 3
reverse_screen_main_249.tsv	249	9c4cf53e61e338ce2296f70fc6412ba4	f64164555006eb8ec3581376a9a1394a60fff180f727d665493d8f2d6bae6b96	Frozen four-level reverse MR screen for primary MDD instruments
reverse_screen_noukbb_249.tsv	249	1321dfd14855e5d3867b2c2ea769ddeb	eb77e2bfd3de66030211736c1539e17f7aa0ea2c1863feab499f42f86ffd8134	Frozen four-level reverse MR screen for UK Biobank-excluded instruments
study_counts.tsv	25	c6e58fc488dcdfebd2323a4b395ac8ed	9d5cb11df3ec44b1b1f02decce52af871c11bb52cdf855bf9abc3387bb978bff	Frozen counts used in Figures 1 and 4
susie_credible_set_binding.tsv	334	91f8bf09bebb35fb90a4cf7ef6188474	221f7bb814c525ad47cd3145d6824e87e3f661994e1cecfc5b1a1556eba576b1	Frozen exploratory SuSiE credible-set comparison
susie_exploratory_summary.tsv	44	ada63fd26ea9f0a334a725349ee8dc7d	a0a78dd7c5e4f996a571986ef6d2d3d2f1cf8cb28152c9034688e5a3a3bbe536	Frozen exploratory SuSiE status summary
susie_stop_rule_verdicts.tsv	7	36200a860c56cfb70ecbb7dad579aa23	a9921984f522d7d68a18cb4b686217ce8a4a0a3bf99a7d87ebb4fe92574be6c3	Frozen exploratory SuSiE stopping-rule assessment
table1_design.tsv	4	2775fdbc7b8441492113e7d9ed4e52c9	30b94dcb7fd5d928bf79f562ee874a6ba13fc0ba3ec70e34feb65be5910cfb5e	GWAS design summary used in the manuscript table
trait_display_dictionary.tsv	249	832cb16a6daa70f72502cfc981da8ad6	cfdecd2aaf7496a5512412c17593f8072becc3b1a0948b9d7937cbda5142c0da	Machine-to-display names for all 249 traits
trait_labels.tsv	15	258592937c74410c8432967e58fd2118	75d33e2d55498070fe10f72ea897a4e1e23fff035b0d6d45d0941efd5f3458f9	Journal-facing full names for the 15 reporting traits
