trait	reporting_group	n_iv	main_or95	main_p	five_dir	a3_ok	noukbb_ok	presso	pleio_ok	egger_sig	q_sig	steiger_008	steiger_015	steiger_020	coloc_n_robust	coloc_n_prior	coloc_n_distinct	coloc_n_tsp	coloc_n_inconcl	fg13_or95	fg13_p	fg13_p_bh	cross_outcome_support_label
Ratio_of_monounsaturated_fatty_acids_to_total_fatty_acids	priority_reporting	343	1.081 [1.050-1.112]	9.81679116730432e-08	5	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0	5	31	157	110	1.090 [1.042-1.141]	0.000192243736350358	0.00288365604525538	FDR-supported
Ratio_of_polyunsaturated_fatty_acids_to_monounsaturated_fatty_acids	priority_reporting	323	0.931 [0.905-0.957]	4.71811494259079e-07	5	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	8	56	212	165	0.925 [0.882-0.969]	0.00113859341983828	0.00808015422363388	FDR-supported
GlycA	priority_reporting	328	1.074 [1.044-1.106]	9.35367008369753e-07	5	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0	6	60	262	145	1.057 [1.006-1.109]	0.0267916833620273	0.0422251038596624	FDR-supported
Ratio_of_polyunsaturated_fatty_acids_to_total_fatty_acids	priority_reporting	267	0.931 [0.901-0.961]	1.35934682983623e-05	5	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	6	46	218	142	0.917 [0.866-0.971]	0.00300777307453182	0.0112791490294943	FDR-supported
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL	priority_reporting	353	0.953 [0.931-0.975]	3.73228277012625e-05	5	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	2	5	64	233	143	0.957 [0.919-0.997]	0.034161247114875	0.0465835187930114	FDR-supported
Triglycerides_to_total_lipids_ratio_in_very_large_HDL	priority_reporting	368	1.054 [1.028-1.081]	4.33429790958803e-05	5	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	1	6	63	269	146	1.030 [0.988-1.074]	0.165056581287221	0.165056581287221	no-nominal-support
Cholesterol_to_total_lipids_ratio_in_large_HDL	priority_reporting	387	0.952 [0.929-0.976]	0.0001040214882911	5	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	8	63	248	174	0.955 [0.916-0.995]	0.028150069239775	0.0422251038596624	FDR-supported
Cholesterol_in_very_large_HDL	priority_reporting	396	0.953 [0.930-0.977]	0.000120041384212	5	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2	4	76	245	168	0.957 [0.916-0.999]	0.0437633475682567	0.0547041844603208	nominally-supported
Monounsaturated_fatty_acids	priority_reporting	289	1.052 [1.024-1.081]	0.0001904581608951	5	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	1	5	46	244	128	1.032 [0.990-1.075]	0.140312119581968	0.150334413837823	no-nominal-support
Cholesterol_to_total_lipids_ratio_in_very_large_VLDL	secondary_reporting	283	0.943 [0.916-0.971]	7.12294046125761e-05	5	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	1	4	50	225	126	0.940 [0.897-0.986]	0.0107088213263981	0.0267720533159953	FDR-supported
Triglycerides_to_total_lipids_ratio_in_very_small_VLDL	secondary_reporting	346	1.049 [1.024-1.074]	9.39822823156182e-05	5	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	1	5	58	235	136	1.039 [0.997-1.083]	0.066528680725654	0.0767638623757546	no-nominal-support
Cholesterol_to_total_lipids_ratio_in_medium_VLDL	secondary_reporting	327	0.948 [0.922-0.974]	0.0001442514939268	5	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	0	9	61	237	135	0.932 [0.889-0.978]	0.00405634410178958	0.0121690323053688	FDR-supported
Free_cholesterol_in_very_large_HDL	secondary_reporting	338	0.954 [0.931-0.977]	0.0001443849484308	5	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0	4	30	167	98	0.932 [0.892-0.974]	0.00161603084472678	0.00808015422363388	FDR-supported
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	secondary_reporting	341	0.949 [0.923-0.975]	0.0001765564114003	5	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	0	9	63	244	130	0.946 [0.903-0.991]	0.019838434443449	0.0371970645814669	FDR-supported
Free_cholesterol_to_total_lipids_ratio_in_medium_VLDL	secondary_reporting	304	0.953 [0.930-0.977]	0.000184044066997	5	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0	3	55	234	135	0.950 [0.911-0.992]	0.019569534301274	0.0371970645814669	FDR-supported
