trait	n_iv	fg_b	fg_se	fg_p	fg_or	fg_or_lci	fg_or_uci	pgc_b	pgc_se	pgc_p	dir_same	n_methods_same_dir	overlap_uncorrected_Q	overlap_uncorrected_Q_p	overlap_uncorrected_I2_pct	p_bh	p_bonf	ci_excl1	reporting_group	cross_outcome_support_label
Ratio_of_monounsaturated_fatty_acids_to_total_fatty_acids	368	0.0866348678755615	0.0232327558552186	0.000192243736350358	1.09049843100719	1.04195577788257	1.14130259006364	0.0776811335692692	0.0145740946469684	9.81679116730432e-08	TRUE	5	0.106584777150786	0.744066331693847	0	0.00288365604525538	0.00288365604525538	TRUE	priority_reporting	FDR-supported
Ratio_of_polyunsaturated_fatty_acids_to_monounsaturated_fatty_acids	343	-0.0784938067312	0.0241234924283985	0.00113859341983828	0.924507785639047	0.881813247039792	0.969269455382365	-0.0716875617325465	0.0142309648703086	4.71811494259079e-07	TRUE	5	0.0590530800453723	0.807998894080564	0	0.00808015422363388	0.0170789012975742	TRUE	priority_reporting	FDR-supported
Free_cholesterol_in_very_large_HDL	356	-0.0708115974030573	0.022458499598663	0.00161603084472678	0.931637398499431	0.891518181051697	0.973562021201739	-0.0470498534908875	0.0123798026261079	0.000144384948430835	TRUE	5	0.858550699881847	0.354144585938139	0	0.00808015422363388	0.0242404626709016	TRUE	secondary_reporting	FDR-supported
Ratio_of_polyunsaturated_fatty_acids_to_total_fatty_acids	286	-0.0868476013890416	0.0292717518129439	0.00300777307453182	0.916816806594832	0.865697982575991	0.970954159271085	-0.0715263987636331	0.0164416144412033	1.35934682983623e-05	TRUE	4	0.208256861755054	0.648137101887685	0	0.0112791490294943	0.0451165961179773	TRUE	priority_reporting	FDR-supported
Cholesterol_to_total_lipids_ratio_in_medium_VLDL	355	-0.0702701393817267	0.0244524489456687	0.00405634410178958	0.932141977633702	0.888521832810417	0.977903563403223	-0.0535602498953808	0.0140919748151586	0.000144251493926897	TRUE	5	0.350556558101569	0.553798245011407	0	0.0121690323053688	0.0608451615268438	TRUE	secondary_reporting	FDR-supported
Cholesterol_to_total_lipids_ratio_in_very_large_VLDL	296	-0.0614293495324994	0.0240705000416264	0.0107088213263981	0.940419384461596	0.897083204059677	0.985849043510011	-0.0589455503259917	0.0148397410451514	7.12294046125761e-05	TRUE	5	0.00771536438978777	0.930006112833133	0	0.0267720533159953	0.160632319895972	TRUE	secondary_reporting	FDR-supported
Free_cholesterol_to_total_lipids_ratio_in_medium_VLDL	328	-0.0509549694141231	0.0218269266784309	0.019569534301274	0.950321463101187	0.9105240556185	0.991858345375968	-0.0478179754175081	0.0127856661106434	0.000184044066997055	TRUE	5	0.0153788343401975	0.90130622646785	0	0.0371970645814669	0.293543014519111	TRUE	secondary_reporting	FDR-supported
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	370	-0.0555047989279121	0.0238280442405181	0.019838434443449	0.946007483837822	0.902842727112553	0.991235940216641	-0.05260775071286	0.0140272569704827	0.000176556411400362	TRUE	5	0.0109777021702092	0.916554720776919	0	0.0371970645814669	0.297576516651735	TRUE	secondary_reporting	FDR-supported
GlycA	357	0.0551135750238989	0.0248871483774206	0.0267916833620273	1.05666061811562	1.00635577288962	1.10948005859848	0.0716994638484488	0.0146183120628588	9.35367008369753e-07	TRUE	5	0.330216299353332	0.565531750932349	0	0.0422251038596624	0.401875250430409	TRUE	priority_reporting	FDR-supported
Cholesterol_to_total_lipids_ratio_in_large_HDL	425	-0.0462118252136658	0.0210514142129593	0.028150069239775	0.95483968164783	0.91624467345211	0.995060428798206	-0.0491492334227874	0.0126640158097643	0.000104021488291155	TRUE	5	0.0142962793988319	0.90482612286816	0	0.0422251038596624	0.422251038596624	TRUE	priority_reporting	FDR-supported
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL	377	-0.0438105807807148	0.0206832884344177	0.034161247114875	0.957135240113229	0.919110355653886	0.996733267372294	-0.048637601572428	0.0117953460937148	3.73228277012625e-05	TRUE	4	0.0410988779106306	0.839347181920473	0	0.0465835187930114	0.512418706723125	TRUE	priority_reporting	FDR-supported
Cholesterol_in_very_large_HDL	428	-0.0442910629194797	0.0219659553193275	0.0437633475682567	0.956675464191877	0.916362230281853	0.998762185457206	-0.0477931140657634	0.0124265722698273	0.000120041384212094	TRUE	4	0.0192556467909656	0.889636075634287	0	0.0547041844603208	0.65645021352385	TRUE	priority_reporting	nominally-supported
Triglycerides_to_total_lipids_ratio_in_very_small_VLDL	359	0.0386661825709743	0.021073270864013	0.066528680725654	1.03942344806701	0.997366803275753	1.08325352402251	0.047836615822061	0.0122481343300168	9.39822823156182e-05	TRUE	5	0.141553461036288	0.706741519947095	0	0.0767638623757546	0.997930210884809	FALSE	secondary_reporting	no-nominal-support
Monounsaturated_fatty_acids	316	0.0310773788489312	0.0210746998932992	0.140312119581968	1.03156532213559	0.989823856656552	1.07506705023975	0.0507793919851397	0.0136088610489744	0.000190458160895112	TRUE	5	0.616783945792409	0.43224490849429	0	0.150334413837823	1	FALSE	priority_reporting	no-nominal-support
Triglycerides_to_total_lipids_ratio_in_very_large_HDL	391	0.0295013668119814	0.021250540680402	0.165056581287221	1.02994084320641	0.987924572371502	1.07374405918293	0.0525548460222472	0.0128530627663713	4.33429790958803e-05	TRUE	5	0.861664011635873	0.353273448395384	0	0.165056581287221	1	FALSE	priority_reporting	no-nominal-support
