trait	proposed_group	b_pgc	se_pgc	b_fg	se_fg	replication_label
Ratio_of_monounsaturated_fatty_acids_to_total_fatty_acids	priority_replication	0.0776811335692692	0.0145740946469684	0.0866348678755615	0.0232327558552186	strong
Ratio_of_polyunsaturated_fatty_acids_to_monounsaturated_fatty_acids	priority_replication	-0.0716875617325465	0.0142309648703086	-0.0784938067312	0.0241234924283985	strong
GlycA	priority_replication	0.0716994638484488	0.0146183120628588	0.0551135750238989	0.0248871483774206	strong
Ratio_of_polyunsaturated_fatty_acids_to_total_fatty_acids	priority_replication	-0.0715263987636331	0.0164416144412033	-0.0868476013890416	0.0292717518129439	strong
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL	priority_replication	-0.048637601572428	0.0117953460937148	-0.0438105807807148	0.0206832884344177	strong
Triglycerides_to_total_lipids_ratio_in_very_large_HDL	priority_replication	0.0525548460222472	0.0128530627663713	0.0295013668119814	0.021250540680402	not_replicated
Cholesterol_to_total_lipids_ratio_in_large_HDL	priority_replication	-0.0491492334227874	0.0126640158097643	-0.0462118252136658	0.0210514142129593	strong
Cholesterol_in_very_large_HDL	priority_replication	-0.0477931140657634	0.0124265722698273	-0.0442910629194797	0.0219659553193275	supportive
Monounsaturated_fatty_acids	priority_replication	0.0507793919851397	0.0136088610489744	0.0310773788489312	0.0210746998932992	not_replicated
Cholesterol_to_total_lipids_ratio_in_very_large_VLDL	secondary_unstable	-0.0589455503259917	0.0148397410451514	-0.0614293495324994	0.0240705000416264	strong
Triglycerides_to_total_lipids_ratio_in_very_small_VLDL	secondary_unstable	0.047836615822061	0.0122481343300168	0.0386661825709743	0.021073270864013	not_replicated
Cholesterol_to_total_lipids_ratio_in_medium_VLDL	secondary_unstable	-0.0535602498953808	0.0140919748151586	-0.0702701393817267	0.0244524489456687	strong
Free_cholesterol_in_very_large_HDL	secondary_unstable	-0.0470498534908875	0.0123798026261079	-0.0708115974030573	0.022458499598663	strong
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	secondary_unstable	-0.05260775071286	0.0140272569704827	-0.0555047989279121	0.0238280442405181	strong
Free_cholesterol_to_total_lipids_ratio_in_medium_VLDL	secondary_unstable	-0.0478179754175081	0.0127856661106434	-0.0509549694141231	0.0218269266784309	strong
