trait	n_iv	ivw_b	ivw_se	ivw_p
Ratio_of_monounsaturated_fatty_acids_to_total_fatty_acids	336	0.0806788495407675	0.0153749510643176	1.54242694695323e-07
Ratio_of_polyunsaturated_fatty_acids_to_monounsaturated_fatty_acids	316	-0.0749376423886016	0.0152559460492582	9.01389285771529e-07
GlycA	321	0.0735958674361309	0.0157337812322649	2.902940988914e-06
Ratio_of_polyunsaturated_fatty_acids_to_total_fatty_acids	265	-0.0768980163337967	0.0174229722217788	1.01666098538858e-05
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL	346	-0.0494477749102805	0.0125351206903937	7.98870628731057e-05
Triglycerides_to_total_lipids_ratio_in_very_large_HDL	364	0.0546363378754311	0.0137943607289043	7.47073833252919e-05
Cholesterol_to_total_lipids_ratio_in_large_HDL	377	-0.0502305805932663	0.0136162306575053	0.000225117355478292
Cholesterol_in_very_large_HDL	388	-0.0453290103324895	0.0132750091187086	0.000638728409130261
Monounsaturated_fatty_acids	282	0.0491834179433143	0.0148022452938448	0.000891507905978529
Cholesterol_to_total_lipids_ratio_in_very_large_VLDL	278	-0.0589505602317428	0.0156450254731028	0.000164556311133414
Triglycerides_to_total_lipids_ratio_in_very_small_VLDL	344	0.0478927145163674	0.0127669538767642	0.000175917830064808
Cholesterol_to_total_lipids_ratio_in_medium_VLDL	323	-0.0540619483140309	0.0147945215353722	0.000257998182104667
Free_cholesterol_in_very_large_HDL	336	-0.0494343266122318	0.013145757588422	0.00016958927824802
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	335	-0.052097745347872	0.0147853679655955	0.000425723938495942
Free_cholesterol_to_total_lipids_ratio_in_medium_VLDL	298	-0.0497643542500322	0.0133823673700858	0.000200289523608847
