trait	n_iv	ivw_b	ivw_se	ivw_p	ivw_or	ivw_or_lci	ivw_or_uci	p_fdr_bh	p_bonf	screen_level
Acetate	40	-0.0432652800374973	0.0404536473106812	0.284843268389097	0.957657309000362	0.884657752802865	1.03668059040475	0.396234490664163	1	null
Acetoacetate	34	0.028984083167046	0.0401764397402465	0.470651206150627	1.02940820942622	0.951456092639367	1.11374688735716	0.580035909276164	1	null
Acetone	49	0.0660397353477832	0.0420813675101833	0.116570053396407	1.06826916436943	0.983694650153489	1.16011508994636	0.215006987375595	1	null
Alanine	222	0.012336070905228	0.0183682478740374	0.501839916400618	1.01241247407633	0.976612141583382	1.04952516359622	0.612539897959578	1	null
Albumin	239	-0.0021406042841062	0.0179511454506504	0.905080375896583	0.997861685175344	0.963363136607599	1.03359564519704	0.923627104910857	1	null
ApoA1	299	-0.0087886226930389	0.0138248245190481	0.524963406195363	0.991249884360822	0.964750964571073	1.01847665286574	0.6200127689002	1	null
ApoB	253	-0.0159021223858325	0.0124977512808867	0.20323149849632	0.984223648803546	0.960407394857486	1.00863049998476	0.312374340281381	1	null
ApoB_by_ApoA1	302	-0.0117424179433314	0.0120165693256269	0.328477298875992	0.988326255187226	0.965320707167786	1.01188007202111	0.445091922905153	1	null
Average_diameter_for_LDL_particles	120	-0.0422304145639349	0.0171693934607866	0.0139078978563595	0.958648868461785	0.926925182688734	0.991458286134047	0.0500414798274387	1	nominal
Average_diameter_for_VLDL_particles	323	0.0379883679838671	0.0133104570945419	0.004316922924335	1.03871915041031	1.0119709572446	1.06617434591884	0.024302108336583	1	fdr_only
bOHbutyrate	74	0.0732129472814715	0.0349705865703332	0.0362993824644891	1.0759596352002	1.00468152184556	1.15229464403158	0.0968219081819529	1	nominal
Cholesterol_in_chylomicrons_and_extremely_large_VLDL	296	0.0381321619775575	0.0129377171014138	0.0032049566730963	1.03886852272443	1.01285617554871	1.0655489234915	0.0204624156820764	0.798034211600979	fdr_only
Cholesterol_in_IDL	243	-0.028902710334548	0.0139299291933572	0.0379991295092434	0.97151097784696	0.945344968987998	0.998401230280562	0.097544157193831	1	nominal
Cholesterol_in_large_HDL	437	-0.0295123538345991	0.0114299682907512	0.0098225209535315	0.970918882995815	0.949409476180009	0.992915597546771	0.0384930074532169	1	fdr_only
Cholesterol_in_large_LDL	231	-0.013010476803117	0.0136135499252071	0.339223557479685	0.987073793588318	0.961084413483654	1.0137659713544	0.454121859206675	1	null
Cholesterol_in_large_VLDL	322	0.0229473374301527	0.012860858901897	0.0743786316870485	1.02321265312052	0.997742605737797	1.04933289155446	0.156983097635374	1	null
Cholesterol_in_medium_HDL	332	-0.0036866664277568	0.0138764174145469	0.790486786147705	0.996320120983382	0.969587607725163	1.02378967673204	0.835264049910357	1	null
Cholesterol_in_medium_LDL	250	-0.0083008789236972	0.0130711118717012	0.525392346337117	0.991733478241143	0.966648583869802	1.0174693350575	0.6200127689002	1	null
Cholesterol_in_medium_VLDL	248	-0.0193333874448948	0.0131911721367387	0.142748910680991	0.980852303883849	0.955817690115052	1.00654261998274	0.248562788528439	1	null
Cholesterol_in_small_HDL	225	0.0285211722534373	0.0141182026906186	0.0433657369406721	1.02893179540865	1.00084985590288	1.05780166061752	0.109071398971993	1	nominal
Cholesterol_in_small_LDL	252	-0.0035699398192136	0.0135142593411706	0.791655886662025	0.996436424839873	0.970389357899302	1.02318264381739	0.835264049910357	1	null
Cholesterol_in_small_VLDL	293	0.002588493965826	0.0118355510685879	0.826879869019684	1.00259184700882	0.979601731714428	1.02612151361691	0.865097005823115	1	null
Cholesterol_in_very_large_HDL	396	-0.0477931140657634	0.0124265722698273	0.000120041384212	0.95333099745082	0.930392074945221	0.976835481701716	0.0029890304668788	0.029890304668788	bonferroni_hit
Cholesterol_in_very_large_VLDL	311	0.0226301860561856	0.012683766025832	0.0743935964697755	1.0228881912762	0.997772489237976	1.0486361000506	0.156983097635374	1	null
Cholesterol_in_very_small_VLDL	244	-0.0214850896406885	0.0121135983545452	0.076123713545284	0.978744070786121	0.955779785447574	1.0022601133486	0.159284072880468	1	null
Cholesterol_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	139	-0.0225403211511723	0.0200378453935408	0.260636723472802	0.977711813932694	0.940057253003337	1.01687465103805	0.370848823684158	1	null
Cholesterol_to_total_lipids_ratio_in_IDL	293	-0.0276418144538044	0.0114446462503411	0.0157239126194773	0.972736724644172	0.951159681865537	0.994803242306937	0.0536336197568472	1	nominal
Cholesterol_to_total_lipids_ratio_in_large_HDL	387	-0.0491492334227874	0.0126640158097643	0.0001040214882911	0.952039043051708	0.928698900225055	0.975965772410376	0.00287792784272043	0.0259013505844839	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_large_LDL	250	-0.043191422604999	0.0131411795577978	0.0010136033326805	0.957728041722455	0.933375088752756	0.982716394463897	0.00814152354314337	0.252387229837445	fdr_only
Cholesterol_to_total_lipids_ratio_in_large_VLDL	231	-0.0395175947502689	0.014016628201864	0.004812300534279	0.961253040834609	0.935204379363276	0.988027247202245	0.0249638090215723	1	fdr_only
Cholesterol_to_total_lipids_ratio_in_medium_HDL	355	-0.0281597928810467	0.0122191967893008	0.0211915920782136	0.972232998476326	0.949224998301338	0.995798683154988	0.0640543392077901	1	nominal
Cholesterol_to_total_lipids_ratio_in_medium_LDL	126	-0.0193881568449815	0.0150602818797097	0.197965314886961	0.98079858466269	0.952270344366483	1.01018147773603	0.310021153502222	1	null
Cholesterol_to_total_lipids_ratio_in_medium_VLDL	327	-0.0535602498953808	0.0140919748151586	0.0001442514939268	0.947848831490465	0.922027231572979	0.974393571679157	0.0029959876799391	0.0359186219877732	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_small_HDL	242	-0.0255540110987447	0.0135768111273783	0.0598114929222163	0.974769729159822	0.949172657275532	1.00105709704456	0.134326039346647	1	null
Cholesterol_to_total_lipids_ratio_in_small_LDL	158	-0.0147968356964634	0.0154003098544078	0.336645620169304	0.985312099516164	0.956015222432362	1.01550677298095	0.453106807687334	1	null
Cholesterol_to_total_lipids_ratio_in_small_VLDL	258	-0.036434929931912	0.0126983104717236	0.0041141544774955	0.964220833770363	0.940518821271703	0.988520160627631	0.024302108336583	1	fdr_only
Cholesterol_to_total_lipids_ratio_in_very_large_HDL	157	0.0069299372410571	0.0154350113863572	0.653449550804261	1.00695400481962	0.976947186627808	1.03788247891088	0.736239539141453	1	null
Cholesterol_to_total_lipids_ratio_in_very_large_VLDL	283	-0.0589455503259917	0.0148397410451514	7.12294046125761e-05	0.942758100630844	0.915732083113271	0.970581737491814	0.00253373167836164	0.0177361217485314	bonferroni_hit
