trait	autosomal_biallelic	in_ld_panel	ld_panel_missing
Acetate	7204	6326	878
Acetoacetate	4627	4376	251
Acetone	6581	5758	823
Alanine	39541	37643	1898
Albumin	33814	31935	1879
ApoA1	75053	70178	4875
ApoB_by_ApoA1	63887	59137	4750
ApoB	60491	56070	4421
Average_diameter_for_LDL_particles	20167	19364	803
Average_diameter_for_VLDL_particles	77050	72344	4706
Cholesterol_in_IDL	56256	52540	3716
Cholesterol_in_chylomicrons_and_extremely_large_VLDL	70295	66121	4174
Cholesterol_in_large_HDL	107653	100910	6743
Cholesterol_in_large_LDL	54939	51015	3924
Cholesterol_in_large_VLDL	73591	69179	4412
Cholesterol_in_medium_HDL	77149	72256	4893
Cholesterol_in_medium_LDL	57616	53541	4075
Cholesterol_in_medium_VLDL	57312	53260	4052
Cholesterol_in_small_HDL	53200	50202	2998
Cholesterol_in_small_LDL	58040	53675	4365
Cholesterol_in_small_VLDL	70168	65476	4692
Cholesterol_in_very_large_HDL	97101	91417	5684
Cholesterol_in_very_large_VLDL	74343	69603	4740
Cholesterol_in_very_small_VLDL	61752	57328	4424
Cholesterol_to_total_lipids_ratio_in_IDL	64179	59539	4640
Cholesterol_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	19688	18525	1163
Cholesterol_to_total_lipids_ratio_in_large_HDL	94941	90098	4843
Cholesterol_to_total_lipids_ratio_in_large_LDL	49454	46546	2908
Cholesterol_to_total_lipids_ratio_in_large_VLDL	46293	43747	2546
Cholesterol_to_total_lipids_ratio_in_medium_HDL	80740	76338	4402
Cholesterol_to_total_lipids_ratio_in_medium_LDL	22084	20525	1559
Cholesterol_to_total_lipids_ratio_in_medium_VLDL	77370	73450	3920
Cholesterol_to_total_lipids_ratio_in_small_HDL	53626	50528	3098
Cholesterol_to_total_lipids_ratio_in_small_LDL	27410	25912	1498
Cholesterol_to_total_lipids_ratio_in_small_VLDL	67729	64133	3596
Cholesterol_to_total_lipids_ratio_in_very_large_HDL	36110	32928	3182
Cholesterol_to_total_lipids_ratio_in_very_large_VLDL	58923	55952	2971
Cholesterol_to_total_lipids_ratio_in_very_small_VLDL	82113	77248	4865
Cholesteryl_esters_in_LDL	56155	52265	3890
Cholesteryl_esters_in_VLDL	64470	60094	4376
Cholesteryl_esters_in_chylomicrons_and_extremely_large_VLDL	70188	65948	4240
Cholesteryl_esters_in_large_HDL	109021	102252	6769
Cholesteryl_esters_in_large_LDL	55194	51257	3937
Cholesteryl_esters_in_large_VLDL	69212	64848	4364
Cholesteryl_esters_in_medium_HDL	77050	72172	4878
Cholesteryl_esters_in_medium_LDL	58726	54585	4141
Cholesteryl_esters_in_medium_VLDL	52615	48870	3745
Cholesteryl_esters_in_small_HDL	49606	46413	3193
Cholesteryl_esters_in_small_LDL	59860	55463	4397
Cholesteryl_esters_in_small_VLDL	71035	66326	4709
Cholesteryl_esters_in_very_large_HDL	102073	96176	5897
Cholesteryl_esters_in_very_large_VLDL	72090	67335	4755
Cholesteryl_esters_in_very_small_VLDL	59221	55093	4128
Cholesteryl_esters_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	17333	16226	1107
Cholesteryl_esters_to_total_lipids_ratio_in_large_HDL	82254	78162	4092
Cholesteryl_esters_to_total_lipids_ratio_in_large_LDL	35964	33418	2546
Cholesteryl_esters_to_total_lipids_ratio_in_large_VLDL	54993	52252	2741
Cholesteryl_esters_to_total_lipids_ratio_in_medium_HDL	68465	64381	4084
Cholesteryl_esters_to_total_lipids_ratio_in_medium_LDL	42379	39734	2645
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	78599	74649	3950
Cholesteryl_esters_to_total_lipids_ratio_in_small_HDL	44487	41402	3085
Cholesteryl_esters_to_total_lipids_ratio_in_small_LDL	49797	46704	3093
Cholesteryl_esters_to_total_lipids_ratio_in_small_VLDL	61338	58116	3222
Cholesteryl_esters_to_total_lipids_ratio_in_very_large_HDL	28712	26801	1911
Cholesteryl_esters_to_total_lipids_ratio_in_very_large_VLDL	58647	55658	2989
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL	84358	79212	5146
Cholines	67021	62799	4222
Citrate	33165	31797	1368
Clinical_LDL_C	51371	47525	3846
Concentration_of_IDL_particles	49979	46320	3659
Concentration_of_LDL_particles	62542	57839	4703
Concentration_of_VLDL_particles	68668	64138	4530
Concentration_of_chylomicrons_and_extremely_large_VLDL_particles	66933	63010	3923
Concentration_of_large_HDL_particles	101894	95150	6744
Concentration_of_large_LDL_particles	60582	56102	4480
Concentration_of_large_VLDL_particles	74792	70431	4361
Concentration_of_medium_HDL_particles	73994	69259	4735
Concentration_of_medium_LDL_particles	53155	49554	3601
Concentration_of_medium_VLDL_particles	64189	59970	4219
Concentration_of_small_HDL_particles	54578	51350	3228
Concentration_of_small_LDL_particles	60161	55751	4410
Concentration_of_small_VLDL_particles	78363	73484	4879
Concentration_of_very_large_HDL_particles	82798	77599	5199
Concentration_of_very_large_VLDL_particles	76101	71731	4370
Concentration_of_very_small_VLDL_particles	66116	61179	4937
Creatinine	72738	70710	2028
DHA	43697	40424	3273
DHA_pct	32692	30386	2306
Degree_of_unsaturation	44530	41087	3443
Free_cholesterol_in_IDL	57993	54299	3694
Free_cholesterol_in_LDL	52186	48574	3612
Free_cholesterol_in_VLDL	67995	63617	4378
Free_cholesterol_in_chylomicrons_and_extremely_large_VLDL	68875	64925	3950
Free_cholesterol_in_large_HDL	100374	93791	6583
Free_cholesterol_in_large_LDL	54271	50668	3603
Free_cholesterol_in_large_VLDL	78873	74125	4748
Free_cholesterol_in_medium_HDL	74741	69962	4779
Free_cholesterol_in_medium_LDL	53833	50010	3823
Free_cholesterol_in_medium_VLDL	62090	57876	4214
Free_cholesterol_in_small_HDL	60828	57638	3190
Free_cholesterol_in_small_LDL	51816	47591	4225
Free_cholesterol_in_small_VLDL	64463	60182	4281
Free_cholesterol_in_very_large_HDL	77694	73047	4647
Free_cholesterol_in_very_large_VLDL	72723	68481	4242
Free_cholesterol_in_very_small_VLDL	64124	59390	4734
Free_cholesterol_to_total_lipids_ratio_in_IDL	42120	40185	1935
Free_cholesterol_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	18193	17011	1182
Free_cholesterol_to_total_lipids_ratio_in_large_HDL	69743	65326	4417
Free_cholesterol_to_total_lipids_ratio_in_large_LDL	88070	82949	5121
Free_cholesterol_to_total_lipids_ratio_in_large_VLDL	37168	34933	2235
Free_cholesterol_to_total_lipids_ratio_in_medium_HDL	87205	81490	5715
Free_cholesterol_to_total_lipids_ratio_in_medium_LDL	79396	74635	4761
Free_cholesterol_to_total_lipids_ratio_in_medium_VLDL	70680	67021	3659
Free_cholesterol_to_total_lipids_ratio_in_small_HDL	67411	62212	5199
