trait_id	trait_display	screen_level	n_iv	min_f	median_f	cumulative_r2_approx	maf_min	maf_q25	maf_median	maf_q75	maf_max	i2gx	nome_i2gx_ge_0_90	ld_panel_missing_n	ld_panel_eligible_n	ld_panel_missing_fraction	ld_panel_missingness_note
Acetate	Acetate	null	47	29.8339932916306	40.1972865925662	0.00585876346557934	0.0233367	0.1663965	0.311633	0.412609	0.493757	0.986541548725576	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Acetoacetate	Acetoacetate	null	42	30.1578010047542	41.7645913495788	0.00618322326198201	0.00994328	0.1889505	0.267694	0.351506	0.474345	0.988283280870353	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Acetone	Acetone	null	57	30.0025083557835	42.0178129604857	0.00876362121157521	0.0160835	0.185012	0.269345	0.414671	0.498027	0.989188126874213	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Alanine	Alanine	null	250	29.7443157125174	50.0553861489767	0.0457783813076055	0.00236045	0.147844	0.258394	0.38536475	0.499938	0.991280087616887	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Albumin	Albumin	null	268	29.7187427128163	48.0810025900178	0.0348305254842403	0.00796414	0.1251635	0.2679725	0.369784	0.496635	0.988252676518752	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
ApoA1	Apolipoprotein A1	null	348	29.719524080788	54.6125238838587	0.069446022072473	0.00394911	0.1281935	0.265433	0.3937985	0.494456	0.993769562154134	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
ApoB	Apolipoprotein B	null	282	29.7435489061067	61.223823572561	0.0717520239633748	0.00666668	0.081944625	0.21321	0.3609035	0.498506	0.994452560849038	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
ApoB_by_ApoA1	Apolipoprotein B/apolipoprotein A1 ratio	null	339	29.7622772193741	58.989300240294	0.07918345038817	0.00276596	0.10306	0.232805	0.37961	0.498353	0.994139243674954	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Average_diameter_for_LDL_particles	Mean low-density lipoprotein particle diameter	nominal	141	29.754334054649	55.5694480550967	0.030406387158785	0.00211264	0.0897774	0.227649	0.374428	0.498309	0.992818156368477	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Average_diameter_for_VLDL_particles	Mean very-low-density lipoprotein particle diameter	fdr_only	381	29.7864133348092	55.3825304081472	0.0809853051703106	0.00547602	0.122336	0.271857	0.392871	0.499321	0.993928858766181	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Cholesterol_in_IDL	Cholesterol in intermediate-density lipoprotein	nominal	276	29.7351341871368	58.4503113925016	0.0736892357257551	0.00666668	0.0790377	0.2153725	0.35680125	0.49844	0.994875857338889	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Cholesterol_in_chylomicrons_and_extremely_large_VLDL	Cholesterol in chylomicrons and extremely large very-low-density lipoprotein	fdr_only	345	29.7307929793753	53.8664192866872	0.0791446280223896	0.00547602	0.103973	0.25744	0.388104	0.499321	0.993934048294122	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Cholesterol_in_large_HDL	Cholesterol in large high-density lipoprotein	fdr_only	496	29.8463813630911	56.6000242253858	0.0867934879645492	0.0079341	0.10975725	0.258183	0.38599225	0.49904	0.993783542189917	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
