locus_key	trait	trait_ov_n_iv	trait_ov_ivw_b	official_forward_ivw_b	official_reverse_main_ivw_b	official_reverse_noukbb_ivw_b	hotspot_gene	n_region_iv	region_ivw_b	region_ivw_se	region_ivw_ci_lo	region_ivw_ci_hi	region_ivw_p	region_weight_share	loo_n_iv	loo_ivw_b	loo_ivw_se	loo_ivw_ci_lo	loo_ivw_ci_hi	loo_ivw_p	n_hotspot_iv_trait	n_iv_after_hotspot_removal	hotspot_removed_ivw_b	hotspot_removed_ivw_se	hotspot_removed_ivw_ci_lo	hotspot_removed_ivw_ci_hi	hotspot_removed_ivw_p	n_reverse_shared_iv	reverse_main_loo_n_iv	reverse_main_loo_b	reverse_main_loo_se	reverse_main_loo_ci_lo	reverse_main_loo_ci_hi	reverse_main_loo_p	reverse_noukbb_loo_n_iv	reverse_noukbb_loo_b	reverse_noukbb_loo_se	reverse_noukbb_loo_ci_lo	reverse_noukbb_loo_ci_hi	reverse_noukbb_loo_p	region_dir	loo_dir_consistent	hotspot_removed_dir_consistent	reverse_main_loo_dir_consistent	reverse_noukbb_loo_dir_consistent	locus	abf_class	failure_reason	is_mhc	qc_exp_lead_present	qc_mdd_lead_present_main	qc_mdd_lead_present_noukbb	complex_disposition	complex_locus	evidence_tier	mechanism_eligible	downgrade_reason	allowed_statement
Cholesterol_in_very_large_HDL__locus009	Cholesterol_in_very_large_HDL	396	-0.0477931140657634	-0.0477931140657634	-0.103410410979481	-0.104725876463912	""	0							396	-0.0477931140657634	0.00713783332341641	-0.0617830103073094	-0.0338032178242174	2.14575146165175e-11	6	390	-0.0439648676130357	0.00766629245831352	-0.0589905247262812	-0.0289392104997902	9.76114296286628e-09	1	198	-0.101552909420205	0.005698134982137	-0.112721048764242	-0.090384770076169	4.7588427102574e-71	146	-0.100941017043621	0.0061143941725563	-0.112925009409113	-0.0889570246781288	3.17378908462855e-61	unassessable	TRUE	TRUE	TRUE	TRUE	locus009	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE	not_complex	FALSE	abf_label_only_forward_unassessable	FALSE	no forward metabolite IV inside region -> region MR direction unassessable	ABF label only; no forward causal-mechanism claim
Cholesterol_in_very_large_HDL__locus031	Cholesterol_in_very_large_HDL	396	-0.0477931140657634	-0.0477931140657634	-0.103410410979481	-0.104725876463912	""	0							396	-0.0477931140657634	0.00713783332341641	-0.0617830103073094	-0.0338032178242174	2.14575146165175e-11	6	390	-0.0439648676130357	0.00766629245831352	-0.0589905247262812	-0.0289392104997902	9.76114296286628e-09	1	197	-0.0995298368572801	0.00571144739823786	-0.110724068057421	-0.0883356056571389	5.20402375609226e-68	147	-0.102772813926788	0.00609852549927225	-0.114725704264161	-0.0908199235894156	1.01295893285782e-63	unassessable	TRUE	TRUE	TRUE	TRUE	locus031	robust_coloc	none	FALSE	TRUE	TRUE	TRUE	not_complex	FALSE	abf_label_only_forward_unassessable	FALSE	no forward metabolite IV inside region -> region MR direction unassessable	ABF label only; no forward causal-mechanism claim
Cholesterol_in_very_large_HDL__locus066	Cholesterol_in_very_large_HDL	396	-0.0477931140657634	-0.0477931140657634	-0.103410410979481	-0.104725876463912	""	0							396	-0.0477931140657634	0.00713783332341641	-0.0617830103073094	-0.0338032178242174	2.14575146165175e-11	6	390	-0.0439648676130357	0.00766629245831352	-0.0589905247262812	-0.0289392104997902	9.76114296286628e-09	1	197	-0.100210094049926	0.00571163450492726	-0.111404691972439	-0.0890154961274118	6.5059656078713e-69	146	-0.101229259150851	0.00611545658204999	-0.113215333800687	-0.0892431845010144	1.52275572233636e-61	unassessable	TRUE	TRUE	TRUE	TRUE	locus066	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE	not_complex	FALSE	abf_label_only_forward_unassessable	FALSE	no forward metabolite IV inside region -> region MR direction unassessable	ABF label only; no forward causal-mechanism claim
Cholesterol_in_very_large_HDL__locus170	Cholesterol_in_very_large_HDL	396	-0.0477931140657634	-0.0477931140657634	-0.103410410979481	-0.104725876463912	""	0							396	-0.0477931140657634	0.00713783332341641	-0.0617830103073094	-0.0338032178242174	2.14575146165175e-11	6	390	-0.0439648676130357	0.00766629245831352	-0.0589905247262812	-0.0289392104997902	9.76114296286628e-09	1	198	-0.101552909420205	0.005698134982137	-0.112721048764242	-0.090384770076169	4.7588427102574e-71	146	-0.101500146120441	0.00613688151026192	-0.113528212857944	-0.0894720793829378	1.9101353012946e-61	unassessable	TRUE	TRUE	TRUE	TRUE	locus170	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE	explicitly_downgraded	TRUE	abf_label_only_complex_downgraded	FALSE	complex_locus: multi-signal review not completed (503-sample 1KG EUR SuSiE unstable); ABF single-causal label only	ABF label only; no multi-signal/mechanism claim until complex re-review
Cholesterol_in_very_large_HDL__locus282	Cholesterol_in_very_large_HDL	396	-0.0477931140657634	-0.0477931140657634	-0.103410410979481	-0.104725876463912	""	0							396	-0.0477931140657634	0.00713783332341641	-0.0617830103073094	-0.0338032178242174	2.14575146165175e-11	6	390	-0.0439648676130357	0.00766629245831352	-0.0589905247262812	-0.0289392104997902	9.76114296286628e-09	1	197	-0.0994136050504308	0.00572130575117724	-0.11062715826728	-0.0882000518335815	1.25326061943031e-67	146	-0.100381976815205	0.00612510671083648	-0.112386965369909	-0.0883769882605012	2.30663983454855e-60	unassessable	TRUE	TRUE	TRUE	TRUE	locus282	robust_coloc	none	FALSE	TRUE	TRUE	TRUE	not_complex	FALSE	abf_label_only_forward_unassessable	FALSE	no forward metabolite IV inside region -> region MR direction unassessable	ABF label only; no forward causal-mechanism claim
Cholesterol_in_very_large_HDL__locus333	Cholesterol_in_very_large_HDL	396	-0.0477931140657634	-0.0477931140657634	-0.103410410979481	-0.104725876463912	FADS	2	-0.188710579691057	0.0318627920182942	-0.251160504493804	-0.12626065488831	3.16890520833037e-09	0.0501839853138044	394	-0.0403476720895775	0.00732397171718744	-0.0547023928790548	-0.0259929513001001	3.60902565143252e-08	6	390	-0.0439648676130357	0.00766629245831352	-0.0589905247262812	-0.0289392104997902	9.76114296286628e-09	1	197	-0.0784219994281094	0.00571167159687519	-0.0896166700495051	-0.0672273288067136	6.70122149573881e-43	147	-0.102772813926788	0.00609852549927225	-0.114725704264161	-0.0908199235894156	1.01295893285782e-63	consistent	TRUE	TRUE	TRUE	TRUE	locus333	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE	explicitly_downgraded	TRUE	abf_label_only_complex_downgraded	FALSE	complex_locus: multi-signal review not completed (503-sample 1KG EUR SuSiE unstable); ABF single-causal label only; also overlaps predefined hotspot(s): FADS	ABF label only; no multi-signal/mechanism claim until complex re-review
Cholesterol_to_total_lipids_ratio_in_large_HDL__locus028	Cholesterol_to_total_lipids_ratio_in_large_HDL	387	-0.0491492334227874	-0.0491492334227874	-0.121499307108538	-0.116772214792982	""	0							387	-0.0491492334227874	0.00719967850268231	-0.063260343988312	-0.0350381228572629	8.69584211738132e-12	5	382	-0.0476307916992823	0.00767830696283214	-0.0626799968086765	-0.0325815865898882	5.5293578117791e-10	1	197	-0.116550168275137	0.00605571104689074	-0.128419143827825	-0.10468119272245	1.51545866128629e-82	147	-0.111632103418954	0.00646569068170266	-0.124304624290267	-0.0989595825476405	8.58532512994281e-67	unassessable	TRUE	TRUE	TRUE	TRUE	locus028	robust_coloc	none	FALSE	TRUE	TRUE	TRUE	not_complex	FALSE	abf_label_only_forward_unassessable	FALSE	no forward metabolite IV inside region -> region MR direction unassessable	ABF label only; no forward causal-mechanism claim
Cholesterol_to_total_lipids_ratio_in_large_HDL__locus060	Cholesterol_to_total_lipids_ratio_in_large_HDL	387	-0.0491492334227874	-0.0491492334227874	-0.121499307108538	-0.116772214792982	""	0							387	-0.0491492334227874	0.00719967850268231	-0.063260343988312	-0.0350381228572629	8.69584211738132e-12	5	382	-0.0476307916992823	0.00767830696283214	-0.0626799968086765	-0.0325815865898882	5.5293578117791e-10	1	197	-0.117420541891991	0.00605590162387054	-0.129289890968694	-0.105551192815287	9.47627559564519e-84	146	-0.109914277422404	0.00648360533154281	-0.1226219103622	-0.0972066444826079	1.83978307226882e-64	unassessable	TRUE	TRUE	TRUE	TRUE	locus060	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE	not_complex	FALSE	abf_label_only_forward_unassessable	FALSE	no forward metabolite IV inside region -> region MR direction unassessable	ABF label only; no forward causal-mechanism claim
Cholesterol_to_total_lipids_ratio_in_large_HDL__locus167	Cholesterol_to_total_lipids_ratio_in_large_HDL	387	-0.0491492334227874	-0.0491492334227874	-0.121499307108538	-0.116772214792982	""	0							387	-0.0491492334227874	0.00719967850268231	-0.063260343988312	-0.0350381228572629	8.69584211738132e-12	5	382	-0.0476307916992823	0.00767830696283214	-0.0626799968086765	-0.0325815865898882	5.5293578117791e-10	1	198	-0.118874285743155	0.00604161487461484	-0.130715633305861	-0.107032938180448	3.468763504686e-86	146	-0.110098261629645	0.00650627093708554	-0.122850318339992	-0.0973462049192974	3.1042363224946e-64	unassessable	TRUE	TRUE	TRUE	TRUE	locus167	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE	explicitly_downgraded	TRUE	abf_label_only_complex_downgraded	FALSE	complex_locus: multi-signal review not completed (503-sample 1KG EUR SuSiE unstable); ABF single-causal label only	ABF label only; no multi-signal/mechanism claim until complex re-review
Cholesterol_to_total_lipids_ratio_in_large_HDL__locus217	Cholesterol_to_total_lipids_ratio_in_large_HDL	387	-0.0491492334227874	-0.0491492334227874	-0.121499307108538	-0.116772214792982	""	0							387	-0.0491492334227874	0.00719967850268231	-0.063260343988312	-0.0350381228572629	8.69584211738132e-12	5	382	-0.0476307916992823	0.00767830696283214	-0.0626799968086765	-0.0325815865898882	5.5293578117791e-10	1	198	-0.118874285743155	0.00604161487461484	-0.130715633305861	-0.107032938180448	3.468763504686e-86	146	-0.11049723206319	0.00648257632821248	-0.123202848193519	-0.0977916159328619	3.79021707294229e-65	unassessable	TRUE	TRUE	TRUE	TRUE	locus217	robust_coloc	none	FALSE	TRUE	TRUE	TRUE	explicitly_downgraded	TRUE	abf_label_only_complex_downgraded	FALSE	complex_locus: multi-signal review not completed (503-sample 1KG EUR SuSiE unstable); ABF single-causal label only	ABF label only; no multi-signal/mechanism claim until complex re-review
