trait_id	trait_display	n_iv	presso_global_p	presso_outlier_n	presso_distortion_p	presso_raw_b	presso_raw_se	presso_raw_df	presso_raw_ci_lo	presso_raw_ci_hi	presso_raw_p	presso_corrected_b	presso_corrected_se	presso_corrected_df	presso_corrected_ci_lo	presso_corrected_ci_hi	presso_corrected_p	presso_nb	presso_seed	presso_se_status	presso_global_p_display	presso_global_rssobs	presso_global_exceedance_n	presso_distortion_p_display	presso_distortion_coefficient	presso_raw_t_stat	presso_corrected_t_stat	presso_regression_p_sidedness	presso_empirical_test_df
Cholesterol_in_very_large_HDL	Cholesterol in very large high-density lipoprotein	396	1e-04	16	0.0915	-0.0477931140657634	0.0124265722698273	395	-0.0722236043650522	-0.0233626237664746	0.000139900816615675	-0.0350829175853895	0.0112762828199611	379	-0.0572548294313574	-0.0129110057394216	0.00200437193505258	10000	20260815	SE retained directly from Main MR results$Sd in the saved 10,000-run object; 95% CI uses the two-sided t critical value with recorded residual df; not reconstructed from P values	<1e-04	1203.90862253938	0	0.0915	-36.22901786728	-3.84604161372875	-3.11121298973508	two-sided	not_applicable
Cholesterol_to_total_lipids_ratio_in_large_HDL	Cholesterol/total lipids ratio in large high-density lipoprotein	387	1e-04	19	0.0796	-0.0491492334227874	0.0126640158097643	386	-0.0740483190334606	-0.0242501478121143	0.000122308089551788	-0.0358921268907291	0.0106339610106367	367	-0.05680326831522	-0.0149809854662383	0.000816325317520449	10000	20260815	SE retained directly from Main MR results$Sd in the saved 10,000-run object; 95% CI uses the two-sided t critical value with recorded residual df; not reconstructed from P values	<1e-04	1200.24868196014	0	0.0796	-36.9359736535496	-3.88101485035199	-3.37523589326947	two-sided	not_applicable
Cholesterol_to_total_lipids_ratio_in_medium_VLDL	Cholesterol/total lipids ratio in medium very-low-density lipoprotein	327	1e-04	15	0.1301	-0.0535602498953808	0.0140919748151586	326	-0.081282934273745	-0.0258375655170166	0.000172122433278652	-0.0422427906735614	0.0116406561895309	311	-0.0651471917976404	-0.0193383895494825	0.000332628391239413	10000	20260815	SE retained directly from Main MR results$Sd in the saved 10,000-run object; 95% CI uses the two-sided t critical value with recorded residual df; not reconstructed from P values	<1e-04	1168.89117171475	0	0.1301	-26.791457290966	-3.80076253313812	-3.62890115348935	two-sided	not_applicable
Cholesterol_to_total_lipids_ratio_in_very_large_VLDL	Cholesterol/total lipids ratio in very large very-low-density lipoprotein	283	1e-04	10	0.0888	-0.0589455503259917	0.0148397410451514	282	-0.0881562731996206	-0.0297348274523627	9.04987640313508e-05	-0.0433749963577811	0.012555122552802	272	-0.06809256553408	-0.0186574271814823	0.000638728327931127	10000	20260815	SE retained directly from Main MR results$Sd in the saved 10,000-run object; 95% CI uses the two-sided t critical value with recorded residual df; not reconstructed from P values	<1e-04	949.722941814935	0	0.0888	-35.8975337767776	-3.97214143741754	-3.45476487189692	two-sided	not_applicable
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	Cholesteryl esters/total lipids ratio in medium very-low-density lipoprotein	341	1e-04	19	0.2907	-0.05260775071286	0.0140272569704827	340	-0.0801988845170645	-0.0250166169086555	0.000207477621329263	-0.0439890999324834	0.011298106596908	321	-0.0662167881751015	-0.0217614116898652	0.000120218372876203	10000	20260815	SE retained directly from Main MR results$Sd in the saved 10,000-run object; 95% CI uses the two-sided t critical value with recorded residual df; not reconstructed from P values	<1e-04	1213.86000716586	0	0.2907	-19.5926963579727	-3.75039473673018	-3.89349308710914	two-sided	not_applicable
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL	Cholesteryl esters/total lipids ratio in very small very-low-density lipoprotein	353	1e-04	14	0.1338	-0.048637601572428	0.0117953460937148	352	-0.0718358181253413	-0.0254393850195147	4.66026445830447e-05	-0.0372713780057827	0.0102918347148385	338	-0.0575154921300489	-0.0170272638815165	0.000337856951932684	10000	20260815	SE retained directly from Main MR results$Sd in the saved 10,000-run object; 95% CI uses the two-sided t critical value with recorded residual df; not reconstructed from P values	<1e-04	998.710525696014	0	0.1338	-30.4958500994565	-4.12345692835114	-3.62145128040639	two-sided	not_applicable
Free_cholesterol_in_very_large_HDL	Free cholesterol in very large high-density lipoprotein	338	1e-04	11	0.036	-0.0470498534908875	0.0123798026261079	337	-0.0714012754150636	-0.0226984315667113	0.000171311107536463	-0.0304911536137704	0.0112382999909403	326	-0.0525998961913595	-0.00838241103618138	0.0070188053481564	10000	20260815	SE retained directly from Main MR results$Sd in the saved 10,000-run object; 95% CI uses the two-sided t critical value with recorded residual df; not reconstructed from P values	<1e-04	944.146110048618	0	0.036	-54.3065706429646	-3.80053341009359	-2.71314644015116	two-sided	not_applicable
Free_cholesterol_to_total_lipids_ratio_in_medium_VLDL	Free cholesterol/total lipids ratio in medium very-low-density lipoprotein	304	1e-04	11	0.0499	-0.0478179754175081	0.0127856661106434	303	-0.0729779172958444	-0.0226580335391718	0.000220047722009776	-0.03325488710891	0.0110593674255319	292	-0.0550210648870841	-0.011488709330736	0.00286839214398794	10000	20260815	SE retained directly from Main MR results$Sd in the saved 10,000-run object; 95% CI uses the two-sided t critical value with recorded residual df; not reconstructed from P values	<1e-04	975.767660577506	0	0.0499	-43.7923252029208	-3.7399674763681	-3.00694296783532	two-sided	not_applicable
GlycA	Glycoprotein acetyls	328	1e-04	15	0.7409	0.0716994638484489	0.0146183120628588	327	0.0429416609868224	0.100457266710075	1.47696467579085e-06	0.0676021943732606	0.0128310590461272	312	0.042355847536325	0.0928485412101962	2.56791050005353e-07	10000	20260815	SE retained directly from Main MR results$Sd in the saved 10,000-run object; 95% CI uses the two-sided t critical value with recorded residual df; not reconstructed from P values	<1e-04	949.55088831688	0	0.7409	6.06085277730114	4.90477036884565	5.26863715070073	two-sided	not_applicable
Monounsaturated_fatty_acids	Monounsaturated fatty acids	289	1e-04	7	0.0868	0.0507793919851397	0.0136088610489744	288	0.0239939529957121	0.0775648309745673	0.000229414909888703	0.037173506870119	0.0120804189385796	281	0.0133939017444293	0.0609531119958086	0.00229601780248977	10000	20260815	SE retained directly from Main MR results$Sd in the saved 10,000-run object; 95% CI uses the two-sided t critical value with recorded residual df; not reconstructed from P values	<1e-04	857.966099172024	0	0.0868	36.601026539031	3.73134767137376	3.07717034145257	two-sided	not_applicable
