trait	screen_level
Ratio_of_monounsaturated_fatty_acids_to_total_fatty_acids	fdr_only
Ratio_of_polyunsaturated_fatty_acids_to_monounsaturated_fatty_acids	bonferroni_hit
GlycA	bonferroni_hit
Ratio_of_polyunsaturated_fatty_acids_to_total_fatty_acids	bonferroni_hit
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL	bonferroni_hit
Triglycerides_to_total_lipids_ratio_in_very_large_HDL	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_large_HDL	bonferroni_hit
Cholesterol_in_very_large_HDL	bonferroni_hit
Monounsaturated_fatty_acids	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_very_large_VLDL	bonferroni_hit
Triglycerides_to_total_lipids_ratio_in_very_small_VLDL	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_medium_VLDL	bonferroni_hit
Free_cholesterol_in_very_large_HDL	fdr_only
Cholesteryl_esters_to_total_lipids_ratio_in_medium_VLDL	bonferroni_hit
Free_cholesterol_to_total_lipids_ratio_in_medium_VLDL	bonferroni_hit
