trait	n_iv	ivw_b	ivw_se	ivw_p	p_fdr_bh	p_bonf	screen_level
Acetate	198	-0.0337492940727043	0.0088452317405902	0.0001358880191306	0.000289197579175379	0.0338361167635194	bonferroni_hit
Acetoacetate	198	0.0386917182752532	0.0094696037952336	4.39090008102251e-05	0.000107189619624961	0.0109333412017461	bonferroni_hit
Acetone	198	-0.002359565482441	0.0083028903327774	0.77626781694835	0.795434923539667	1	null
Alanine	198	0.0074294306354567	0.0111088064667796	0.50363105707905	0.557351703167482	1	null
Albumin	198	-0.0164848913801719	0.0114569044837204	0.150189950325197	0.189833998126772	1	null
ApoA1	198	-0.0389752944775664	0.0176282436559735	0.0270387922287802	0.0400753527676564	1	fdr_only
ApoB	198	0.0188136928290147	0.0136752423535159	0.168899540764686	0.210279928252034	1	null
ApoB_by_ApoA1	198	0.0372215536718126	0.0117769610963061	0.0015747711632425	0.00284143492498103	0.392118019647383	fdr_only
Average_diameter_for_LDL_particles	198	-0.0460134679470715	0.011276644517604	4.4954020020784e-05	0.000108675252283255	0.0111935509851752	bonferroni_hit
Average_diameter_for_VLDL_particles	198	0.103960311329701	0.0219172737958813	2.10259479003459e-06	6.23269169903111e-06	0.000523546102718613	bonferroni_hit
bOHbutyrate	198	0.0258909246714834	0.0101287209946052	0.010582563754126	0.0167838113043145	1	fdr_only
Cholesterol_in_chylomicrons_and_extremely_large_VLDL	198	0.115898181121491	0.0216449394459858	8.57855868052029e-08	3.88374747536282e-07	2.13606111144955e-05	bonferroni_hit
Cholesterol_in_IDL	198	-0.0419773511735573	0.022343375686748	0.0602802628431958	0.0820206855079549	1	null
Cholesterol_in_large_HDL	198	-0.0994968909053363	0.0236263257584683	2.53936444554762e-05	6.32301746941357e-05	0.00632301746941357	bonferroni_hit
Cholesterol_in_large_LDL	198	-0.0157564469630281	0.0181468453849358	0.385243961994818	0.440026360260136	1	null
Cholesterol_in_large_VLDL	198	0.0916212079992674	0.0149171872380014	8.14942249223613e-10	1.06800326345621e-08	2.0292062005668e-07	bonferroni_hit
Cholesterol_in_medium_HDL	198	-0.0534575267218175	0.0177776540528912	0.0026383385636968	0.00462638241098946	0.656946302360503	fdr_only
Cholesterol_in_medium_LDL	198	0.0244694194236537	0.0126160544448801	0.0524348745983291	0.0721341645026737	1	null
Cholesterol_in_medium_VLDL	198	0.000350098679026	0.014490263526948	0.980724218353385	0.984678751491907	1	null
Cholesterol_in_small_HDL	198	0.0232557380550205	0.0141067517429323	0.0992390967418284	0.128700703587059	1	null
Cholesterol_in_small_LDL	198	0.0193619100618011	0.0125989098587065	0.124344132920578	0.158777892806277	1	null
Cholesterol_in_small_VLDL	198	0.0490532991875474	0.0114252733332761	1.75955457288853e-05	4.51679472834272e-05	0.00438129088649244	bonferroni_hit
Cholesterol_in_very_large_HDL	198	-0.103410410979481	0.0270017942663763	0.00012826792242	0.000275333730022241	0.03193871268258	bonferroni_hit
Cholesterol_in_very_large_VLDL	198	0.0949014533845754	0.0158906234446009	2.34123007933344e-09	1.88053641856138e-08	5.82966289754027e-07	bonferroni_hit
Cholesterol_in_very_small_VLDL	198	-0.0098552703093051	0.0198251020209329	0.619110990759201	0.655994198719324	1	null
Cholesterol_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	198	-0.0423929076084711	0.0105811421439102	6.16359308978477e-05	0.000144786290505321	0.0153473467935641	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_IDL	198	-0.114141198736783	0.0215195780594897	1.1325316999875e-07	4.86207574649806e-07	2.82000393296888e-05	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_large_HDL	198	-0.121499307108538	0.0216476543293301	1.9932586258458e-08	1.1280031768991e-07	4.96321397835604e-06	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_large_LDL	198	-0.111717471435382	0.0225907282196375	7.60345830257447e-07	2.45878067187148e-06	0.000189326111734104	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_large_VLDL	198	-0.056792645107165	0.0158424516640052	0.0003372856741464	0.000648115541080546	0.0839841328624536	fdr_only
Cholesterol_to_total_lipids_ratio_in_medium_HDL	198	-0.118356175603759	0.021083785807826	1.98147193543197e-08	1.1280031768991e-07	4.93386511922561e-06	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_medium_LDL	198	-0.0846573670930667	0.0195059676914745	1.42433949080684e-05	3.69438055428024e-05	0.00354660533210903	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_medium_VLDL	198	-0.111341231288048	0.0242025838045083	4.21708461060676e-06	1.17983603150683e-05	0.00105005406804108	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_small_HDL	198	-0.0926692429041122	0.0170974781627487	5.95812696388261e-08	2.8308498487492e-07	1.48357361400677e-05	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_small_LDL	198	-0.0436970021672266	0.0108252567996779	5.42363128469835e-05	0.000128617541894275	0.0135048418988989	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_small_VLDL	198	-0.0851763244724116	0.0194693782458376	1.2149555069459e-05	3.21833958754818e-05	0.00302523921229529	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_very_large_HDL	198	0.0074011559115097	0.0126273426220962	0.557793926982803	0.603872555733556	1	null
Cholesterol_to_total_lipids_ratio_in_very_large_VLDL	198	-0.102602796347054	0.0202473503197581	4.03142613099513e-07	1.41383817833491e-06	0.000100382510661779	bonferroni_hit
Cholesterol_to_total_lipids_ratio_in_very_small_VLDL	198	-0.131406125394228	0.0276981416826297	2.09309495543775e-06	6.23269169903111e-06	0.000521180643904	bonferroni_hit
Cholesteryl_esters_in_chylomicrons_and_extremely_large_VLDL	198	0.114501490049282	0.0218250085830659	1.55147591454097e-07	5.99065836848978e-07	3.86317502720702e-05	bonferroni_hit
Cholesteryl_esters_in_large_HDL	198	-0.101935360635452	0.0233276643773792	1.24405973024144e-05	3.26074602979072e-05	0.00309770872830119	bonferroni_hit
