trait	n_iv	ivw_b	ivw_se	ivw_p	p_fdr_bh	p_bonf	screen_level
Acetate	147	-0.0287266684762256	0.0094343839385499	0.0023276483804438	0.00456365706087013	0.579584446730506	fdr_only
Acetoacetate	147	0.044853685092711	0.0103547707702965	1.47967355941827e-05	6.6988857508209e-05	0.00368438716295149	bonferroni_hit
Acetone	147	0.0071176652638607	0.0089523411799789	0.42657750399685	0.480623522602786	1	null
Alanine	147	0.0017327105805077	0.0120300802300482	0.88547559032416	0.907613562218542	1	null
Albumin	147	-0.0134055256826235	0.0125014358485709	0.283576829692882	0.346130542125135	1	null
ApoA1	147	-0.0434977224111194	0.0194419547791869	0.0252659431038194	0.0405885150506518	1	fdr_only
ApoB	147	0.0082892073784748	0.015181323131273	0.585056657397534	0.634148781552167	1	null
ApoB_by_ApoA1	147	0.0318885215668597	0.0113235709915377	0.0048607683300977	0.0089654171421802	1	fdr_only
Average_diameter_for_LDL_particles	147	-0.0392020065432695	0.0135039154701956	0.0036959440766895	0.00691947424883974	0.920290075095686	fdr_only
Average_diameter_for_VLDL_particles	147	0.0988481569482238	0.0260161713125415	0.0001449947424306	0.000440288912990481	0.0361036908652194	bonferroni_hit
bOHbutyrate	147	0.0275081585658167	0.0100878061434173	0.0063937789270217	0.0116208098746599	1	fdr_only
Cholesterol_in_chylomicrons_and_extremely_large_VLDL	147	0.107025658586123	0.0254926639907148	2.68935187747563e-05	0.000104632596483036	0.00669648617491432	bonferroni_hit
Cholesterol_in_IDL	147	-0.0508820413908699	0.0263113238220424	0.0531320975490045	0.079220911914384	1	null
Cholesterol_in_large_HDL	147	-0.0994046068132266	0.0277764747786983	0.0003452630286352	0.00089552598052255	0.0859704941301648	fdr_only
Cholesterol_in_large_LDL	147	-0.0259267972573504	0.0209917383558522	0.216795040613637	0.275418189350998	1	null
Cholesterol_in_large_VLDL	147	0.0819789447340732	0.0171227613020287	1.68688836220945e-06	2.05479246132015e-05	0.000420035202190153	bonferroni_hit
Cholesterol_in_medium_HDL	147	-0.0546517005001239	0.0196073422033183	0.0053147948975206	0.00973076418737227	1	fdr_only
Cholesterol_in_medium_LDL	147	0.0135000323617245	0.0138760184984084	0.330601071920118	0.390140601460234	1	null
Cholesterol_in_medium_VLDL	147	-0.0087258701908393	0.0160842745203533	0.587467630603615	0.634148781552167	1	null
Cholesterol_in_small_HDL	147	0.0179712309995407	0.0151497217967876	0.235526881954014	0.297696414246444	1	null
Cholesterol_in_small_LDL	147	0.0091394362161138	0.0136475494465834	0.503064359274991	0.556724557597657	1	null
Cholesterol_in_small_VLDL	147	0.0375488649582261	0.0121253759823486	0.0019567620213949	0.00399371920760107	0.48723374332733	fdr_only
Cholesterol_in_very_large_HDL	147	-0.104725876463912	0.0320934630932175	0.0011018006684957	0.00247160690500387	0.274348366455429	fdr_only
Cholesterol_in_very_large_VLDL	147	0.0855705041595382	0.0183138834852739	2.97643873040157e-06	2.24585831475755e-05	0.000741133243869991	bonferroni_hit
Cholesterol_in_very_small_VLDL	147	-0.0197247321302926	0.0232143633571019	0.395504173693404	0.451745592888338	1	null
Cholesterol_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	147	-0.0386623313629043	0.0117838027061973	0.0010344986931319	0.00234172885990766	0.257590174589843	fdr_only
