trait_id	trait_display	source_accession	n_iv_full	n_iv_pleio_removed	exposure_n_mode	exposure_n_min	exposure_n_max	exposure_n_unique	steiger_correct_008	steiger_p_008	steiger_z_008	steiger_log10_p_008	steiger_correct_015	steiger_p_015	steiger_z_015	steiger_log10_p_015	steiger_correct_020	steiger_p_020	steiger_z_020	steiger_log10_p_020	steiger_test_distribution	steiger_p_sidedness	steiger_df	steiger_p_display	r2_exposure	r2_outcome
Ratio_of_monounsaturated_fatty_acids_to_total_fatty_acids	Monounsaturated fatty acids/total fatty acids ratio	GCST90451219	343	7	source_variant_specific	413897	599249	2	1	0	184.736383062864	-7413.06387156549	1	0	184.736094360557	-7413.04070832119	1	0	184.735890315497	-7413.02433734268	standard_normal	two-sided	not_applicable	P<1e-300 (double-precision underflow; see log10 P)	0.0863392781175981	0.000868602339256976
Ratio_of_polyunsaturated_fatty_acids_to_monounsaturated_fatty_acids	Polyunsaturated fatty acids/monounsaturated fatty acids ratio	GCST90451242	323	7	source_variant_specific	413897	599249	2	1	0	178.353856455025	-6909.82439559821	1	0	178.353550009794	-6909.80065820845	1	0	178.353332515217	-6909.78381100235	standard_normal	two-sided	not_applicable	P<1e-300 (double-precision underflow; see log10 P)	0.0801452571759508	0.00074494366726949
GlycA	Glycoprotein acetyls	GCST90451123	328	5	source_variant_specific	413897	599249	2	1	0	155.244132626011	-5235.69844426173	1	0	155.242513285474	-5235.58926165783	1	0	155.241357847958	-5235.51135800116	standard_normal	two-sided	not_applicable	P<1e-300 (double-precision underflow; see log10 P)	0.0622536789075905	0.000621859804185485
Ratio_of_polyunsaturated_fatty_acids_to_total_fatty_acids	Polyunsaturated fatty acids/total fatty acids ratio	GCST90451243	267	6	source_variant_specific	413897	599249	2	1	0	147.497810972818	-4726.4363018101	1	0	147.497943800941	-4726.44481084055	1	0	147.498040098854	-4726.45097973382	standard_normal	two-sided	not_applicable	P<1e-300 (double-precision underflow; see log10 P)	0.0566628832756818	0.00060775787500888
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL	Cholesteryl esters/total lipids ratio in very small very-low-density lipoprotein	GCST90451331	353	6	source_variant_specific	413897	599249	2	1	0	206.080549019732	-9224.4801239998	1	0	206.080747950707	-9224.49792867929	1	0	206.080891316314	-9224.51076016928	standard_normal	two-sided	not_applicable	P<1e-300 (double-precision underflow; see log10 P)	0.102033223862769	0.000651210001700104
Triglycerides_to_total_lipids_ratio_in_very_large_HDL	Triglycerides/total lipids ratio in very large high-density lipoprotein	GCST90451317	368	6	source_variant_specific	413897	599249	2	1	0	203.113159662056	-8960.80559870823	1	0	203.11356803329	-8960.84162242163	1	0	203.11386170645	-8960.86752830126	standard_normal	two-sided	not_applicable	P<1e-300 (double-precision underflow; see log10 P)	0.100340000571698	0.00075519817600253
Cholesterol_to_total_lipids_ratio_in_large_HDL	Cholesterol/total lipids ratio in large high-density lipoprotein	GCST90451161	387	5	source_variant_specific	413897	599249	2	1	0	203.38380977355	-8984.69637988919	1	0	203.383169720773	-8984.63984373137	1	0	203.382714183652	-8984.59960603511	standard_normal	two-sided	not_applicable	P<1e-300 (double-precision underflow; see log10 P)	0.100618871707883	0.000774363576663613
Cholesterol_in_very_large_HDL	Cholesterol in very large high-density lipoprotein	GCST90451310	396	6	source_variant_specific	413897	599249	2	1	0	219.474330491202	-10462.2009379678	1	0	219.474317647566	-10462.1997137321	1	0	219.474309717646	-10462.1989578642	standard_normal	two-sided	not_applicable	P<1e-300 (double-precision underflow; see log10 P)	0.114997075850803	0.000771075575236679
Monounsaturated_fatty_acids	Monounsaturated fatty acids	GCST90451220	289	7	source_variant_specific	599249	599249	1	1	0	173.10118628379	-6508.9407957463	1	0	173.100421800696	-6508.88332249381	1	0	173.099877426284	-6508.84239699792	standard_normal	two-sided	not_applicable	P<1e-300 (double-precision underflow; see log10 P)	0.0742987756202686	0.000558949544617929
Cholesterol_to_total_lipids_ratio_in_very_large_VLDL	Cholesterol/total lipids ratio in very large very-low-density lipoprotein	GCST90451321	283	5	source_variant_specific	413897	599249	2	1	0	168.662864429601	-6179.5478006144	1	0	168.662726508672	-6179.53769764484	1	0	168.66262991679	-6179.53062211126	standard_normal	two-sided	not_applicable	P<1e-300 (double-precision underflow; see log10 P)	0.071861388405022	0.000618792986761954
