id	value
n_traits_metabolites	249
n_screen_bonf	15
matrix_fg13_rows	15
groups_priority	9
groups_secondary	6
fg13_dir_same	15
coloc_records	6434
n_coloc_robust	14
n_coloc_prior	87
n_coloc_distinct	822
n_coloc_tsp	3430
n_coloc_inconcl	2081
h4_evidence_rows	101
mechanism_eligible_true	0
tier_complex	55
tier_unassess	35
tier_prior_consistent	10
tier_opposite	1
pgc_main_cases	412305
pgc_main_controls	1588397
pgc_nb_cases	357636
pgc_nb_controls	1281936
finngen_cases	61203
finngen_controls	432672
tambets_meta_eur	599249
