trait_id	trait_display	display_rule	abbreviation_note
Acetate	Acetate	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Acetoacetate	Acetoacetate	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Acetone	Acetone	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Alanine	Alanine	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Albumin	Albumin	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
ApoA1	Apolipoprotein A1	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
ApoB	Apolipoprotein B	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
ApoB_by_ApoA1	Apolipoprotein B/apolipoprotein A1 ratio	explicit expansion	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Average_diameter_for_LDL_particles	Mean low-density lipoprotein particle diameter	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Average_diameter_for_VLDL_particles	Mean very-low-density lipoprotein particle diameter	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_in_IDL	Cholesterol in intermediate-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_in_chylomicrons_and_extremely_large_VLDL	Cholesterol in chylomicrons and extremely large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_in_large_HDL	Cholesterol in large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_in_large_LDL	Cholesterol in large low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_in_large_VLDL	Cholesterol in large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_in_medium_HDL	Cholesterol in medium high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_in_medium_LDL	Cholesterol in medium low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_in_medium_VLDL	Cholesterol in medium very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_in_small_HDL	Cholesterol in small high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_in_small_LDL	Cholesterol in small low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_in_small_VLDL	Cholesterol in small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_in_very_large_HDL	Cholesterol in very large high-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_in_very_large_VLDL	Cholesterol in very large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_in_very_small_VLDL	Cholesterol in very small very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_to_total_lipids_ratio_in_IDL	Cholesterol/total lipids ratio in intermediate-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
Cholesterol_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	Cholesterol/total lipids ratio in chylomicrons and extremely large very-low-density lipoprotein	source-name normalization	Journal-facing trait labels use full lipoprotein names; raw source IDs are retained separately for reproducibility.
