locus_key	window	outcome	author_cs	mdd_cs	retained_alpha_mass	n_shared	jaccard	top_r2	clpp
GlycA__locus096	chr3_48000001_51000001	main	GlycA_chr3:47360462-49359866_L2	L1	0.792861550103888	0	0	0.239168824850257	0
GlycA__locus096	chr3_48000001_51000001	main	GlycA_chr3:47360462-49359866_L2	L2	0.792861550103888	0	0	0.0634006589091349	0
GlycA__locus096	chr3_48000001_51000001	main	GlycA_chr3:47360462-49359866_L4	L1	0	0	0		0
GlycA__locus096	chr3_48000001_51000001	main	GlycA_chr3:47360462-49359866_L4	L2	0	0	0		0
GlycA__locus096	chr3_48000001_51000001	main	GlycA_chr3:48797812-50796945_L1	L1	0.857213045604191	0	0	0.137299820190094	0
GlycA__locus096	chr3_48000001_51000001	main	GlycA_chr3:48797812-50796945_L1	L2	0.857213045604191	0	0	0.188533719425678	0
GlycA__locus096	chr3_48000001_51000001	main	GlycA_chr3:48797812-50796945_L2	L1	0.496002062098646	0	0	0.00439045211643307	0
GlycA__locus096	chr3_48000001_51000001	main	GlycA_chr3:48797812-50796945_L2	L2	0.496002062098646	0	0	0.0111997710332199	0
GlycA__locus096	chr3_48000001_51000001	main	GlycA_chr3:49819902-51818138_L1	L1	0.841151721839666	0	0	0.137266428340809	0
GlycA__locus096	chr3_48000001_51000001	main	GlycA_chr3:49819902-51818138_L1	L2	0.841151721839666	0	0	0.188819238884719	0
GlycA__locus096	chr3_48000001_51000001	main	GlycA_chr3:49819902-51818138_L2	L1	0.505040908053409	0	0	0.00439045211643307	0
GlycA__locus096	chr3_48000001_51000001	main	GlycA_chr3:49819902-51818138_L2	L2	0.505040908053409	0	0	0.0111997710332199	0
GlycA__locus096	chr3_48000001_51000001	noUKBB	GlycA_chr3:47360462-49359866_L2	L1	0.792861550103888	0	0	0.147852119371458	0
GlycA__locus096	chr3_48000001_51000001	noUKBB	GlycA_chr3:47360462-49359866_L2	L2	0.792861550103888	0	0	0.0883635349510428	0
GlycA__locus096	chr3_48000001_51000001	noUKBB	GlycA_chr3:47360462-49359866_L4	L1	0	0	0		0
GlycA__locus096	chr3_48000001_51000001	noUKBB	GlycA_chr3:47360462-49359866_L4	L2	0	0	0		0
GlycA__locus096	chr3_48000001_51000001	noUKBB	GlycA_chr3:48797812-50796945_L1	L1	0.857213045604191	0	0	0.0911343066330836	0
GlycA__locus096	chr3_48000001_51000001	noUKBB	GlycA_chr3:48797812-50796945_L1	L2	0.857213045604191	0	0	0.0498065171212971	0
GlycA__locus096	chr3_48000001_51000001	noUKBB	GlycA_chr3:48797812-50796945_L2	L1	0.496002062098646	0	0	0.00243417996992484	0
GlycA__locus096	chr3_48000001_51000001	noUKBB	GlycA_chr3:48797812-50796945_L2	L2	0.496002062098646	0	0	0.086970088063115	0
GlycA__locus096	chr3_48000001_51000001	noUKBB	GlycA_chr3:49819902-51818138_L1	L1	0.841151721839666	0	0	0.091134774470504	0
GlycA__locus096	chr3_48000001_51000001	noUKBB	GlycA_chr3:49819902-51818138_L1	L2	0.841151721839666	0	0	0.049765834029075	0
GlycA__locus096	chr3_48000001_51000001	noUKBB	GlycA_chr3:49819902-51818138_L2	L1	0.505040908053409	0	0	0.00243417996992484	0
GlycA__locus096	chr3_48000001_51000001	noUKBB	GlycA_chr3:49819902-51818138_L2	L2	0.505040908053409	0	0	0.086970088063115	0
Cholesterol_to_total_lipids_ratio_in_large_HDL__locus217	chr7_11000001_14000001	main	L_HDL_C_pct_chr7:11212769-13212431_L1	L1	0.024626974593113	2	0.0202020202020202		0.0116590942601255
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL__locus193	chr7_11000001_14000001	main	XS_VLDL_CE_pct_chr7:11212769-13212431_L1	L1	0.0256299191274025	2	0.0198019801980198		0.0121789126971854
Cholesterol_to_total_lipids_ratio_in_large_HDL__locus217	chr7_11000001_14000001	noUKBB	L_HDL_C_pct_chr7:11212769-13212431_L1	L1	0.024626974593113	2	0.0202020202020202		0.011645012102094
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL__locus193	chr7_11000001_14000001	noUKBB	XS_VLDL_CE_pct_chr7:11212769-13212431_L1	L1	0.0256299191274025	2	0.0198019801980198		0.0121492524847179
Ratio_of_monounsaturated_fatty_acids_to_total_fatty_acids__locus192	chr11_60000001_63000001	main	MUFA_pct_chr11:59341330-61340916_L1	L1	0	0	0		0
Ratio_of_monounsaturated_fatty_acids_to_total_fatty_acids__locus192	chr11_60000001_63000001	main	MUFA_pct_chr11:59341330-61340916_L1	L2	0	0	0		0
Ratio_of_monounsaturated_fatty_acids_to_total_fatty_acids__locus192	chr11_60000001_63000001	main	MUFA_pct_chr11:59341330-61340916_L10	L1	1	0	0	0.00211605107481305	0
Ratio_of_monounsaturated_fatty_acids_to_total_fatty_acids__locus192	chr11_60000001_63000001	main	MUFA_pct_chr11:59341330-61340916_L10	L2	1	0	0	0.00316094587042759	0
