locus_key	window	outcome	n_author_cs_hit	author_cs_ids	best_cs_id	best_cs_mass	retained_mass	mdd_n_cs	mdd_L_stable	highz_unmodeled_screen_positive	status	best_clpp	best_r2	error_message
Ratio_of_polyunsaturated_fatty_acids_to_total_fatty_acids__locus022	chr1_172000001_175000001	main	0	""	""			0	TRUE	0	no_author_released_cs_observed			""
Triglycerides_to_total_lipids_ratio_in_very_small_VLDL__locus026	chr1_172000001_175000001	main	0	""	""			0	TRUE	0	no_author_released_cs_observed			""
Ratio_of_polyunsaturated_fatty_acids_to_total_fatty_acids__locus022	chr1_172000001_175000001	noUKBB	0	""	""			1	TRUE	1	no_author_released_cs_observed			""
Triglycerides_to_total_lipids_ratio_in_very_small_VLDL__locus026	chr1_172000001_175000001	noUKBB	0	""	""			1	TRUE	1	no_author_released_cs_observed			""
GlycA__locus096	chr3_48000001_51000001	main	6	GlycA_chr3:47360462-49359866_L2;GlycA_chr3:47360462-49359866_L4;GlycA_chr3:48797812-50796945_L1;GlycA_chr3:48797812-50796945_L2;GlycA_chr3:49819902-51818138_L1;GlycA_chr3:49819902-51818138_L2	GlycA_chr3:47360462-49359866_L2	0.985879475900906	0.792861550103888	2	TRUE	239	ld_mismatch_unresolved			""
GlycA__locus096	chr3_48000001_51000001	noUKBB	6	GlycA_chr3:47360462-49359866_L2;GlycA_chr3:47360462-49359866_L4;GlycA_chr3:48797812-50796945_L1;GlycA_chr3:48797812-50796945_L2;GlycA_chr3:49819902-51818138_L1;GlycA_chr3:49819902-51818138_L2	GlycA_chr3:47360462-49359866_L2	0.985879475900906	0.792861550103888	2	TRUE	250	ld_mismatch_unresolved			""
Cholesterol_to_total_lipids_ratio_in_large_HDL__locus217	chr7_11000001_14000001	main	1	L_HDL_C_pct_chr7:11212769-13212431_L1	L_HDL_C_pct_chr7:11212769-13212431_L1	0.950514478764846	0.024626974593113	1	TRUE	43	ld_mismatch_unresolved	0.0116590942601255		""
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL__locus193	chr7_11000001_14000001	main	1	XS_VLDL_CE_pct_chr7:11212769-13212431_L1	XS_VLDL_CE_pct_chr7:11212769-13212431_L1	0.950786739554102	0.0256299191274025	1	TRUE	43	ld_mismatch_unresolved	0.0121789126971854		""
Cholesterol_to_total_lipids_ratio_in_large_HDL__locus217	chr7_11000001_14000001	noUKBB	1	L_HDL_C_pct_chr7:11212769-13212431_L1	L_HDL_C_pct_chr7:11212769-13212431_L1	0.950514478764846	0.024626974593113	1	TRUE	16	ld_mismatch_unresolved	0.011645012102094		""
Cholesteryl_esters_to_total_lipids_ratio_in_very_small_VLDL__locus193	chr7_11000001_14000001	noUKBB	1	XS_VLDL_CE_pct_chr7:11212769-13212431_L1	XS_VLDL_CE_pct_chr7:11212769-13212431_L1	0.950786739554102	0.0256299191274025	1	TRUE	16	ld_mismatch_unresolved	0.0121492524847179		""
Ratio_of_monounsaturated_fatty_acids_to_total_fatty_acids__locus192	chr11_60000001_63000001	main	15	MUFA_pct_chr11:59341330-61340916_L1;MUFA_pct_chr11:59341330-61340916_L10;MUFA_pct_chr11:59341330-61340916_L2;MUFA_pct_chr11:59341330-61340916_L3;MUFA_pct_chr11:59341330-61340916_L5;MUFA_pct_chr11:59341330-61340916_L7;MUFA_pct_chr11:59341330-61340916_L8;MUFA_pct_chr11:59341330-61340916_L9;MUFA_pct_chr11:60820861-62820799_L1;MUFA_pct_chr11:60820861-62820799_L2;MUFA_pct_chr11:60820861-62820799_L4;MUFA_pct_chr11:60820861-62820799_L5;MUFA_pct_chr11:62231065-64230743_L1;MUFA_pct_chr11:62231065-64230743_L4;MUFA_pct_chr11:62231065-64230743_L5	MUFA_pct_chr11:59341330-61340916_L2	1	0	2	TRUE	6	ld_mismatch_unresolved	0.0373366097290871	0.962576786514674	""
